symbol,delta_expr
CD38,-0.04594615292422688
ID3,0.23238233639520178
TNNT3,-0.10391992019293417
CCL22,0.675200115851454
TIE1,-0.09015015179712904
DENND6B,0.07075759000949677
EPAS1,0.016205597719144205
G0S2,0.269244986917168
GNLY,-0.22255485673432496
HMGB1P17,-0.05014692469871829
HNF1B,0.1298663259408419
TNXB,0.12610162917807788
GEM,-0.03607945084068609
METRNL,0.024004220811875143
NR5A2,-0.2024884613823854
SERPINE2,0.06133895225277586
NRP2,0.10564218786494983
ABTB2,0.11720565313365716
LAYN,0.025523553166606927
STX1B,-0.005324795005513749
RHOB,0.09300495660935226
ITGAX,-0.09111941006235824
IL1RN,0.16284813084618266
MYO7A,0.032987823681837725
ADAMTS14,-0.14110976929048125
