,ensembl,loading,symbol
3861,CD4,-0.10266818383259088,CD4
6017,CYSLTR1,-0.07809813357248867,CYSLTR1
12640,IL17RB,-0.0645891086223032,IL17RB
17148,MAF,-0.05841125667124612,MAF
4494,CHDH,-0.05313994443996011,CHDH
12628,IL13,-0.05224330578049039,IL13
27261,RMND5B,-0.04974500864897236,RMND5B
24956,PMCH,-0.04893280178817059,PMCH
4329,CES4A,-0.0482280722016843,CES4A
9253,FRY,-0.04810726217859641,FRY
26237,PTPRM,-0.04728299111469478,PTPRM
32533,RPS4Y1,-0.046981700981849873,RPS4Y1
22156,NPTX1,-0.04663931062524649,NPTX1
17251,MAN1C1,-0.04635025155743757,MAN1C1
38440,TSHZ2,-0.046347825915774056,TSHZ2
1137,ANKRD55,-0.04615028242471677,ANKRD55
12951,IRX3,-0.04602672849249643,IRX3
456,ADCY1,-0.04577091332697672,ADCY1
33851,SLC12A7,-0.045297095238984376,SLC12A7
37613,TNFRSF4,-0.04493561177787414,TNFRSF4
12712,IL7R,-0.04491222758452067,IL7R
3194,CADM1,-0.04469005073615237,CADM1
6257,DDX3Y,-0.044376625914392495,DDX3Y
3842,CD300A,-0.04343128633416049,CD300A
23776,PALLD,-0.04263189758132147,PALLD
2096,AXIN2,-0.04256382871078198,AXIN2
23643,P2RX5,-0.04255452192775252,P2RX5
3756,CCR4,-0.04141928409600633,CCR4
26381,RAB11FIP5,-0.04129762860447265,RAB11FIP5
13563,KLF3,-0.04060377463574096,KLF3
