,ensembl,loading,symbol
3899,CD8A,0.12750208613274103,CD8A
3900,CD8B,0.1237997286697178,CD8B
16012,LINC02446,0.12076817156025646,LINC02446
24265,PECAM1,0.08026716753243184,PECAM1
38554,TTC24,0.07933566377320032,TTC24
3826,CD244,0.07364070851026638,CD244
13657,KLRD1,0.07344124188148198,KLRD1
13652,KLRC1,0.07178916211210054,KLRC1
6097,DBN1,0.07171460908870399,DBN1
21369,NCAM1,0.07166570795755772,NCAM1
40947,ZNF683,0.07148708643261383,ZNF683
36092,STYK1,0.07031762298777572,STYK1
21847,NKG7,0.06936165217900346,NKG7
10671,GZMK,0.0681178076544814,GZMK
5735,CTSW,0.06718157540122134,CTSW
13010,ITGAD,0.0662475286118362,ITGAD
13662,KLRK1,0.06589060981441844,KLRK1
14088,LAG3,0.06087700964174122,LAG3
26964,REG4,0.0577194959861686,REG4
33896,SLC17A9,0.05666043581529207,SLC17A9
24183,PDGFRB,0.0565056758336222,PDGFRB
24614,PIK3AP1,0.05189789735287253,PIK3AP1
13653,KLRC2,0.05090308171895109,KLRC2
5463,CRTAM,0.05056823818563016,CRTAM
3676,CCL4,0.05018577864138004,CCL4
13654,KLRC3,0.05004335513999511,KLRC3
3677,CCL4L2,0.050037575943596764,CCL4L2
20990,MVB12B,0.04973909021850073,MVB12B
19878,MLC1,0.049133237767025995,MLC1
8916,FGFBP2,0.04868388854724747,FGFBP2
