symbol,log2_fc,pval_adj
HYAL3,-0.5001831075229042,0.083119651109603
SLC20A2,-0.5004468503151713,9.793871228755412e-08
ATP13A2,-0.5006085055771567,7.800572426043731e-11
SELENOW,-0.5006955007319291,3.870813255568428e-07
MFSD14B,-0.5009323457219566,4.779222352124661e-10
MRPS17,-0.5009758924163417,1.0467826539220869e-05
MYO1F,-0.5010255565425723,0.0036434759088534
GRAMD1C,-0.5012219081816967,8.802837290990114e-05
PSKH1,-0.5012888652226994,0.0001441605482762
HGH1,-0.5013626124378598,7.600066819365937e-08
MEOX1,-0.5015519245707588,0.0042398911751784
HSPA8P8,-0.5015928518955914,7.509768435769149e-05
SNRPD3,-0.501635936899059,3.09004180949714e-05
FSD1,-0.5017167592911878,0.0244609070483082
PPRC1,-0.5019959178635851,2.4436479947398723e-05
SECTM1,-0.5020161918900921,0.0595303274427254
SCYL2P1,-0.5020344144933909,2.211521083207978e-05
TM9SF1,-0.5023395661988761,1.512360060568358e-07
PYGO2-AS1,-0.5023530366605218,0.0003389497637233
POLR2J3,-0.502422609409434,0.0030905228326306
IRF2BP1,-0.5025833940514861,1.747357312823775e-07
TUBBP2,-0.5028071563774833,7.237861689167059e-06
POP7,-0.5028080344657635,1.558783770455471e-07
ENSG00000261884,-0.5031004146873399,1.8222152624373057e-08
ZNF682,-0.5033250510492054,0.0026939091450511
SH3GL1,-0.5033893880272426,3.2007536202278656e-08
AKT1,-0.5034198864439317,6.022021611665997e-09
NDUFA6,-0.5035934782498366,9.838343326007654e-07
ALG5,-0.5036716524703477,1.8473286693822275e-11
KHSRP,-0.5037589948880283,1.8222152624373057e-08
POR,-0.5039082139213003,0.0102490208040221
NOTCH2NLC,-0.5039793363915348,0.0003426984368389
RALB,-0.5040587906686316,3.5172108271967873e-06
SRD5A3,-0.5041680285155752,0.0154362243542402
ARSA,-0.5042230267436416,0.0352682845369684
TMEM50A,-0.5042312297511637,1.7496724210085202e-10
ATG10,-0.5044052381236219,0.0081854968394291
GALNT1,-0.5045526241252141,0.035984613529463
ZNF726,-0.5048772500142622,3.7985118762967915e-05
XBP1,-0.5051110596945589,0.000155828423027
CDCA2,-0.5052405425993731,0.0618940743735047
ABCC5,-0.5053664805346898,0.0467078710728218
CYB561D1,-0.5054860459024288,0.0009543223116951
LINC01547,-0.5056930058772975,0.0677954823096772
DPCD,-0.5057735656120952,0.0002302122721067
OTUD7A,-0.5058891252981248,0.1232809291422295
PIGC,-0.5062918108292056,7.983484131916549e-06
ORC1,-0.5065213591779347,0.1414412914118516
RNF220,-0.5069799413247473,2.047430473568569e-07
MOB4,-0.5071434229382832,2.5785666766113705e-12
SCAMP1-AS1,-0.507192016448816,0.0006103731082565
GET3,-0.5072555629279609,4.055101844846992e-07
HIPK3,-0.5073274793617593,9.793871228755412e-08
NAXE,-0.5077268831159047,6.344609058401762e-10
ENSG00000286931,-0.5077620304178381,5.676728837273995e-06
RAD51D,-0.5082863164836375,3.558573997670754e-05
CUL4A,-0.5083409526993332,1.1164473107566734e-10
TIMM23B,-0.5083672260436041,1.1276160555462186e-06
TMEM97,-0.5086484130697002,0.0625843762393853
HHAT,-0.5086726247729528,0.0241855751884864
C1orf159,-0.5087422239404864,2.431252922129233e-08
PATZ1,-0.5087831583198872,0.0044772645597388
ADCK1,-0.5087905997507485,0.0016562880251311
LAMP3,-0.5089500341569406,0.0016849080050828
SELENOK,-0.5089833393979486,5.954772311289957e-10
FOXN3-AS1,-0.5090280338890886,0.0002611144914764
NMRK1,-0.5090466994831546,0.001163024588822
CCDC97,-0.5090991422426621,0.0222598256237527
MRPL11,-0.5093062765338647,6.616722682979464e-11
IPO5P1,-0.5094016631158329,0.0074485356459359
RHOBTB2,-0.5094578425947054,0.016094938012109
DNAJB6,-0.5095515534604047,2.9739283328343093e-07
ARHGEF18,-0.5095922892788805,0.0066502309868574
ZFP62,-0.5098426794006148,0.016794181828306
CHCHD4,-0.5099572876783594,1.1195093216603372e-06
INPP4A,-0.5100663188562242,2.0703680519152183e-08
RBMX,-0.5102722622983267,4.104950603196798e-11
ENSG00000287839,-0.5104725502434868,1.6406901234361564e-06
MRPL15,-0.5105887449434228,5.276148793121278e-12
CDK2AP1,-0.5106023178390782,0.0011853545270443
GPR155,-0.5108980469648108,0.0079474851938516
ASH2L,-0.5111023428249712,1.0767474292487848e-15
FUBP1,-0.511274269517461,4.516636153230578e-15
ASAP3,-0.5112943413253674,0.0019183685170808
PFDN1,-0.511439947556739,3.9615406267003983e-14
SMC6,-0.5114595314204111,3.3175776638989765e-10
NTAN1,-0.5115361924104835,3.7234835148348246e-05
UBQLN2,-0.5120098565596161,7.421862853780366e-07
SUMF1,-0.5120799009374593,0.0358757970410926
EFR3A,-0.5120972960499133,3.0699997973060574e-06
HSPA8P1,-0.5121357164285962,7.805864265732542e-06
NQO1,-0.5121737341191466,0.00565616286488
RPS6KA5,-0.5122304064537664,1.8126980971320917e-05
G3BP1,-0.5122615050333428,1.9468511256823115e-16
GRPEL1,-0.5122876677064454,6.67946205880637e-07
UBXN2B,-0.5123606597173893,6.426169878388068e-05
H2AC20,-0.5125288801070984,0.0001981133533974
DTD2,-0.5126928468941125,0.0008132059780206
AMMECR1,-0.5127722887421866,5.6465345409718455e-05
ENSG00000260306,-0.5129829987124016,0.0019853660351197
ENSG00000286136,-0.5130713808648829,1.864686537100752e-05
IDH3A,-0.5131757191202677,2.8254336406176137e-05
IKZF1,-0.5131973217540278,9.128456673198576e-05
PSMD6,-0.513246889115262,2.3239498431390408e-17
MIR155HG,-0.5133498143157138,0.0006309440807333
TOR1A,-0.5135204838902547,1.2750683513479155e-06
SEPTIN4,-0.5135749585699929,7.0020896890161474e-06
DNAJB11,-0.5136229256927649,5.449513124054383e-06
MDFIC,-0.5136781187695583,0.0001293051368102
INTS15,-0.5138591864936464,2.4077859203778834e-12
SHQ1,-0.5139031980266662,1.2142250614332291e-09
HNRNPK,-0.5139089648578583,5.866675411460249e-09
RMI1,-0.5142769792549462,2.166353973054796e-06
TMEM192,-0.5143858617050507,0.000120687915796
CAMSAP3,-0.5147533663612316,0.0002054738605597
OAS3,-0.5150271996826552,0.0017529091346863
DYRK1A,-0.5150840028958958,1.084316967657374e-11
MIR4292,-0.5151494085956395,3.9565943082238e-06
RACGAP1,-0.5154803818010656,0.0223035794294037
GTF2H3,-0.5155282066458815,1.9965497036251375e-10
TADA2A,-0.515899464979209,1.559484644938143e-09
CLPTM1,-0.5160053269428779,2.743223981872938e-15
ENSG00000279699,-0.516012697372541,0.000741073849995
NUP160,-0.5168985253842342,6.1761887098679e-08
XPA,-0.5169426560253365,0.0001144536688546
EVI5L,-0.5173449121755875,0.0001065856861256
CD9,-0.5173634986973559,0.1026039564275218
MARK2,-0.5174110337257334,4.823521636131751e-07
GGH,-0.5176188240531765,0.0564516947610539
PCBD2,-0.5176629219981539,0.0003179044151411
ENSG00000268858,-0.517690591199266,0.0002033740891818
VPS35,-0.5177436854649109,8.523253846811998e-16
DTWD2,-0.5179014021267314,0.0007694085148449
EIF3B,-0.518051226034812,1.577904611649181e-14
ZBTB11-AS1,-0.5180733561505406,0.008654608164244
TP53INP2,-0.5186434009510372,0.0055395679312894
RBX1,-0.5186439869181978,3.73498108490949e-13
PCAT1,-0.5188031553954469,0.0003362645018473
FANCA,-0.5188442726542242,0.0102509804336972
NBEA,-0.518929257634312,0.0047273961894135
CD6,-0.5189992128793683,0.0008353554485997
KLHL11,-0.5190561537767793,2.842619170662354e-05
ARPC5L,-0.5191322029077181,2.1786113284047587e-06
FNBP1P1,-0.5192803019444907,0.0004392283585124
MRPL23,-0.519315333167806,0.0041805429858272
PDHB,-0.5196239014705952,7.635015924914447e-13
ABT1,-0.5197754308176217,7.800572426043731e-11
HEXD,-0.5198008837961199,0.0272965838699638
FBXL3,-0.5198612808182705,8.685425059360989e-06
ERCC8,-0.5198749602090804,2.164051344536298e-05
ENSG00000259071,-0.519987957141404,0.0006906564009284
SSX2IP,-0.5200206920247328,4.95000919029727e-07
PRXL2C,-0.5200953026508652,0.0001579478109606
PPP1R8,-0.5202766807657433,1.157180304594591e-08
LDLRAD3,-0.5203009617075329,9.300068923963776e-05
SOAT1,-0.5206377842285486,0.0001058879430565
CHRNA10,-0.5207925571620678,1.6311741142964144e-06
ATP6V1H,-0.5208591755085736,2.5785666766113705e-12
USP16,-0.5211155678183275,3.372074850183452e-06
PIMREG,-0.5212512681710393,0.0136425843540274
MACROH2A1,-0.5214188132476334,8.916585944486314e-08
CTNNAL1,-0.5215764738914084,0.1980265747108462
ENSG00000277879,-0.5224290701736531,5.713302179382126e-08
INCENP,-0.5224489536505352,0.0060229460642637
CDH2,-0.5229063249267579,0.0090432086547803
CTCF,-0.5234969263919496,5.0881412329556525e-09
WASHC2C,-0.5240623500634243,0.0021243239033622
B3GALT2,-0.5241380089792494,0.0645790511824948
ANKRD44,-0.5248363893370112,7.750385280585703e-07
MPRIP,-0.5248392310751475,8.565981778183138e-08
LINC03015,-0.5248812651596143,0.0002861755822743
CYLD-AS1,-0.5249723525541186,0.0001286641477711
SPECC1L,-0.525066164385767,2.8010369394877465e-08
NARF-AS2,-0.5250818942375013,0.0043674454199789
FABP5,-0.5251866623903667,0.0058167894434932
GEMIN4,-0.525274556586095,3.50864156534838e-09
SAMD1,-0.5254377957442111,0.0002745898292702
HOXB7,-0.5254847391365363,4.353157024855638e-06
TAF2,-0.5256374432588533,2.1752094829826568e-10
SBNO2,-0.5258005000006136,1.0594904843947939e-10
DOCK9-DT,-0.5259729923841421,0.0001124350653331
NT5DC3,-0.5264852555243751,8.706273838443775e-05
RAB11FIP1,-0.5266017439307653,1.0409338011639604e-05
CD247,-0.5267029416386118,0.0002110365172856
SLC16A1-AS1,-0.5269428067951827,0.0014923676442808
DHFR2,-0.5269818570706422,0.0079026036378939
MRPS25,-0.5269998167055787,2.183132146232201e-09
C19orf25,-0.5272763860827752,4.543980623052774e-10
RASGRP1,-0.5272807502158052,1.0862495127128979e-07
HSPA8P7,-0.5275008142256373,3.102744000400958e-07
SSNA1,-0.5276603225410783,8.250474249296989e-15
TXN,-0.5277364420969084,1.1541374093757574e-05
DDX52,-0.527787505357308,1.4145343040060597e-07
DNAJC7,-0.5278974977134423,3.4030454656614945e-06
MAML3,-0.5279126902441043,0.115367569720098
WWP2,-0.5279243638740603,8.667819304559794e-06
ZFP64,-0.5279471537301594,4.6835731206875175e-15
ALKBH8,-0.5279557191655124,1.2570974443007432e-08
PSMC5,-0.5285751578930062,1.0634667715247353e-10
PDE6D,-0.528657346340009,8.881739754001117e-10
ZNF562,-0.52871396511541,2.1973985430180252e-12
TRAV38-1,-0.5287241210570846,0.032799940200224
SIN3A,-0.5287481651782864,7.948659949456806e-08
TTLL12,-0.528758362766804,1.0080747983026564e-05
CEP128,-0.5288749886080191,0.0020182968846883
ERCC6L2-AS1,-0.5291244214293762,0.0420551359609144
DHX15,-0.5293392236518377,1.851979605203722e-07
LRRCC1,-0.5293836783238106,0.009954830795667
MBNL1,-0.5297103588240475,5.548667514052854e-10
ECE1,-0.5299525049236742,4.055101844846992e-07
ZHX1,-0.5301083157146493,9.348789378089515e-11
GSTCD,-0.530460020780962,0.0004864643925946
GLMP,-0.5310577740706055,0.0155591101400328
C1D,-0.5311987474299338,2.804455206199816e-10
DEGS1,-0.5313221741879914,1.0806174460754331e-05
CAD,-0.5313332703746054,1.4410448462667568e-05
VAC14,-0.5313620244613855,3.322592858232807e-10
LAMP1,-0.5316620024103962,2.200609671514592e-05
MYORG,-0.531819562363586,0.0074929453327442
ADORA2B,-0.5319663748004687,0.0053137303797733
THEMIS2,-0.532081831032829,0.00602645613697
GSN,-0.5324645428741102,0.0001105384521827
EIF2B3,-0.5325211677330057,0.001070296290275
