symbol,log2_fc,pval_adj
TIE1,5.230313698180472,4.635309880109431e-15
CD38,4.663681537311544,9.00522242836969e-13
ABTB2,4.343754377981484,1.0607444624055719e-20
CCL22,4.1736418805563416,1.2148133400290528e-10
GNLY,4.075861865026957,1.869202639754219e-13
NRP2,3.9040053997258455,1.0744658776739489e-07
NR5A2,3.8494956333230577,9.174874848124177e-16
CREB3L3,3.8385420329861217,1.8368826149641896e-22
ENSG00000287097,3.833991284172666,9.558080142400972e-12
RHOB,3.6538635694734314,1.0314403911452014e-16
ID3,3.623981972387304,1.78453306460031e-08
POU2AF1,3.613691891669206,1.3471788697123946e-16
WHRN,3.598628813253419,3.651596462031586e-17
KLRC2,3.518760869555095,9.111931074746672e-10
TNNT3,3.508570674170893,6.685769122932489e-09
LAYN,3.5058913463718113,4.103531342369223e-14
EPAS1,3.477369914069534,3.7285787741338674e-10
TP63,3.458200796909768,7.4061729835683e-15
DAPK2,3.4124078470518797,4.3875149069633155e-15
ATP9A,3.343120143673728,8.881739754001117e-10
SLC14A1,3.3362901754993635,1.0314403911452014e-16
MIR124-1HG,3.330574754117641,1.1405639603636645e-07
KLRD1,3.287992989162533,6.310630855499267e-07
XCL2,3.2860263204571245,3.687557611433854e-11
METRNL,3.273413131458621,1.4625882222601017e-12
TSPAN2,3.2649485924109234,2.433466801442008e-15
ADAMTS14,3.2166448059744477,9.281519986826785e-10
GIPR,3.1843681839994393,1.639669681077577e-17
PCGF2,3.1735392755002874,1.6535250039734873e-13
SERPINE2,3.1733959638057723,1.3211729427595063e-09
HMGB1P17,3.1442167242684085,3.830144679714413e-08
DENND6B,3.1440621156694744,6.919109474054837e-11
ITGAX,3.13564541370629,7.302937825485061e-09
ENPP3,3.095759827483242,3.5098425460877655e-10
SGPP2,3.013109825802041,2.2197871337831535e-20
NTRK1,3.010782183068933,8.338643291885821e-09
MYRF,2.9441513807886146,8.338449193135657e-11
ZC3H12C,2.9023901451785252,6.351416800660601e-13
ITGB5,2.8958672862910357,2.0540269703297532e-14
PPARG,2.89538545470343,3.833915443504315e-12
AFAP1L2,2.880340618831863,1.919070595788112e-07
HNF1B,2.831484349406347,2.0821877707317854e-10
BMF,2.822330243672118,2.177624706014924e-08
TRIM7,2.80569587458822,1.235124794703187e-10
DGKI,2.7643133388202963,7.59647579396091e-14
CLNK,2.7612008744834573,1.3593817451335276e-11
HIC1,2.7471492813178844,5.616990307592715e-15
ENSG00000273445,2.741398410364054,4.5697323778072124e-10
EBI3,2.7403505742795424,4.103531342369223e-14
COL9A2,2.7380532603554455,3.257417417421356e-08
RAPGEF3,2.735375092053618,4.906065278663059e-11
LYN,2.6993878003173086,1.1638530111635991e-09
ERFL,2.6972636965513264,1.4706615310812917e-12
PTGS1,2.693614124537838,1.1307050130819734e-14
PAPLN,2.679281917296312,6.281488478160666e-16
STX1B,2.6507141240253835,8.775142815649668e-09
SUOX,2.64528024471567,9.354091828129804e-12
PLAAT3,2.6343576634370995,2.489884735587749e-14
LINC01281,2.6163065621488,2.422508772482016e-16
BAIAP3,2.6124363099180634,3.52019095202809e-06
TNXB,2.574943315120497,1.0413840678291174e-06
LINC00996,2.5725890169027985,2.0356115974541976e-16
SERPINB6,2.5624232109695004,3.830144679714413e-08
ALPK1,2.557786213534724,5.058035482532928e-11
GEM,2.5527198184212057,3.376847269357494e-08
LRRC75B,2.549644651750004,8.594557896071058e-16
SMOX,2.537392829627716,3.619064553540183e-17
GNG8,2.5298880930156855,2.3480600335787663e-10
MGLL,2.516570961847333,3.600635878407386e-13
JUP,2.4781087884665887,2.0295121234179023e-08
STARD8,2.4696426675375793,1.5984422860583295e-05
RBPJ,2.443174020678142,4.958446422974511e-22
GFI1,2.440605545926819,5.2807260616256144e-14
ZG16B,2.4355280818756597,3.8245382785560384e-16
TMT1A,2.41524080473221,3.69192935700515e-10
FER1L4,2.399866220067837,4.737858466002332e-10
DNAJC12,2.3941750433671003,2.4889567898630703e-11
PRSS30P,2.39361731810495,7.129969691440046e-14
G0S2,2.3898071542349504,5.300036339442976e-05
MTSS1,2.384954368618942,1.7171068396351508e-10
PDK4,2.383748411426994,3.236531031166446e-13
GSTA4,2.3827674588939436,4.954423220447687e-16
RASGRP4,2.3703848053345515,4.246553866649123e-08
SIX4,2.3674394418467317,4.554617257075962e-13
CATSPER1,2.3537449660232026,9.004861226940814e-17
SERPINE1,2.3534193194903454,1.288068552247116e-13
TLCD5,2.3490467444771537,5.754232361406989e-13
MAGI1,2.3447073578701687,2.2722480869421443e-19
NHS,2.3382770358972698,2.962701960681614e-09
CERCAM,2.3347179210782913,1.1581935645387095e-06
RASSF4,2.334097422503698,2.3988467526860493e-10
PTPN14,2.333373164070701,2.6890191726180164e-10
PLS3,2.32371436347924,1.4589345396902025e-07
ENSG00000237513,2.2969372233477245,2.8444717272154974e-16
NEBL,2.2824323283019465,3.3963273411916365e-11
SOX4,2.2753875949370213,8.083175987743335e-08
TIGIT,2.2691218915391342,7.262177209605808e-09
CPM,2.2647686056513257,1.9505984122019457e-12
PDGFA,2.2623630454975787,6.755359181938267e-07
SLC37A2,2.255351820988392,7.278611790651516e-16
GSTM2,2.252088415237603,2.9183198770603804e-06
LYST,2.2513268588966984,1.1167713338229499e-14
KLRB1,2.2499104086408828,0.0002451265989199
FAM30A,2.2470865968087708,6.118169113450461e-08
PAM,2.2416255573107846,2.5888955374590796e-10
LMCD1,2.2309061967898423,1.928948605990736e-12
SEC14L6,2.2135247454116915,2.4916511322139812e-09
AGRN,2.201583260016095,1.683154817555617e-07
MYO7A,2.1997732086709396,3.7161018582512043e-07
RHOC,2.1858033837101596,1.5441803855831083e-14
IER5L,2.1798219484485175,2.4461484941662864e-16
EML2-AS1,2.1754649083498707,7.181132667349243e-11
VDR,2.1734333878467087,3.072556102030966e-10
SALL4,2.1704115472153434,4.3875149069633155e-15
IGF1,2.1703093957450106,3.0424025371542103e-09
DHRS3,2.148602547519751,5.077427838808505e-07
IFITM10,2.1484895571713363,2.0323635463794055e-05
LNCATV,2.145723429232365,8.964199171664168e-12
CYBRD1,2.1446299353489766,5.125238471370056e-10
ICAM5,2.132659909852959,3.3923428992149276e-10
LINC02524,2.125958423267667,6.85488783838074e-08
PON2,2.1230553412469426,1.0634667715247353e-10
TNFRSF18,2.1227679908702797,5.315935491546008e-05
KLRC1,2.115997431419207,0.0006377517130251
CAPN12,2.110085321250853,6.850482919549888e-09
GZMK,2.10584576052081,0.0002921632077572
COL7A1,2.1018561384716223,1.3719809313435463e-09
ENTPD1,2.1011686727759713,8.724131232284326e-09
CYS1,2.0952735648862557,5.040081846217713e-07
PSD,2.088772756430205,8.771152764481812e-11
TPCN1,2.085591567431056,1.3060193875596529e-10
MT-RNR1,2.0832045006523963,1.171906280437727e-13
PTGIR,2.074219137047337,3.290936888222517e-07
TNFSF4,2.0678429540290906,7.162834011264683e-11
BMERB1,2.067490140350593,2.9074692599157677e-14
ICA1,2.0611664505744596,1.0797796375352272e-14
DAPK1,2.0594231121632363,9.001455497662188e-09
THBS1,2.0566645366747465,6.01099886280806e-06
ARAP3,2.053154579356305,6.603546662515511e-13
TNFRSF9,2.0527763834034647,1.0287979911730431e-06
YPEL4,2.0494441344132097,7.179508949304863e-11
SMIM10L2A,2.046083003506108,1.3065440068276234e-10
DIXDC1,2.0369288322299344,1.0421815775027178e-11
ADPRH,2.035960224518661,7.300642460319606e-16
EVI5,2.033797531735468,3.1586461412941413e-08
ABCB1,2.032433374556776,1.2052307732629151e-14
P2RX1,2.026470830164559,3.9984718195603e-06
SASH1,2.026389801161276,2.5065693265837797e-10
SARDH,2.0223359732363,6.065452611598512e-09
LINC02539,2.0061303855782455,2.1749921678078615e-09
P3H3,1.997646526972738,7.609101823912375e-07
LINC02446,1.996101017655994,0.1326779900463354
NTNG2,1.985742194850035,1.4849116141781933e-11
ENSG00000271755,1.9842890510492877,6.353249904165143e-05
FGFR1,1.9793526908709025,3.403717302321678e-07
TMCC2,1.9782243305574263,1.555704992138779e-08
ANGPTL6,1.9709813872325428,4.2500022075002485e-15
CD72,1.969555318606164,8.500153263498534e-21
ITGA1,1.967401683833839,4.9206555421022005e-06
PHEX,1.9640919324551052,2.5065526068210573e-08
ACSM3,1.95929233137002,6.021149242775031e-07
