symbol,delta_expr
IL3,0.21228921017810531
PRAME,0.05425815764619421
CD19,0.11197204210042488
IL31,0.012931934876379815
GATA2,0.035298704971578415
IFNG,0.05021617077818208
CSF2,0.034785087442395835
PTPRF,0.15774673509189158
TNFAIP2,0.23545791523483617
CXCL8,-0.02076720932721099
CPXM1,-0.114449439678181
TUBB2B,0.10892691863001572
XIRP1,0.11939745269134117
CXCL10,0.04478609215873672
CCL22,0.675200115851454
IL2,0.05270990147815546
NES,0.02059599806118706
COL15A1,0.011780339588900235
CCL2,0.003297370509155826
XCL2,0.18129609380654577
CD24,-0.03142376806862854
IGF2BP1,0.04535111228564101
MAGEA3,0.007171725481918852
CTTN,-0.11898563847973065
KRT8,0.006095103710469729
