symbol,loading,abs_loading,delta_expr
IL3,0.06707035397445153,0.06707035397445153,0.21228921017810531
PRAME,0.05881996548022011,0.05881996548022011,0.05425815764619421
CD19,0.0565145478733248,0.0565145478733248,0.11197204210042488
IL31,0.049957353913478476,0.049957353913478476,0.012931934876379815
GATA2,0.048067779518816245,0.048067779518816245,0.035298704971578415
IFNG,0.04801097970840822,0.04801097970840822,0.05021617077818208
CSF2,0.047405046287999845,0.047405046287999845,0.034785087442395835
PTPRF,0.04739668894310724,0.04739668894310724,0.15774673509189158
TNFAIP2,0.047164903825150706,0.047164903825150706,0.23545791523483617
CXCL8,0.046044338792477706,0.046044338792477706,-0.02076720932721099
CPXM1,0.045408965005429174,0.045408965005429174,-0.114449439678181
TUBB2B,0.04503661672738915,0.04503661672738915,0.10892691863001572
XIRP1,0.04479543148735586,0.04479543148735586,0.11939745269134117
CXCL10,0.04458231695729432,0.04458231695729432,0.04478609215873672
CCL22,0.0443305800163374,0.0443305800163374,0.675200115851454
IL2,0.044037648092605054,0.044037648092605054,0.05270990147815546
NES,0.04335751593665733,0.04335751593665733,0.02059599806118706
COL15A1,0.042622137793466734,0.042622137793466734,0.011780339588900235
CCL2,0.041392829803021614,0.041392829803021614,0.003297370509155826
XCL2,0.04098916297685222,0.04098916297685222,0.18129609380654577
CD24,0.040692610599602067,0.040692610599602067,-0.03142376806862854
IGF2BP1,0.040497324266129724,0.040497324266129724,0.04535111228564101
MAGEA3,0.0398867296065187,0.0398867296065187,0.007171725481918852
CTTN,0.039299462418904856,0.039299462418904856,-0.11898563847973065
KRT8,0.039256504149794744,0.039256504149794744,0.006095103710469729
