symbol,delta_expr
PI16,-0.060123396558660946
PTGDR2,-0.015942335228507076
CCR5,-0.26083365273125425
IL7R,-0.17859359969016442
CCR2,-0.27584335632057844
ZNF683,0.005165564384500332
LTB,-0.21245764818498003
RAP1GAP2,-0.0824387628419414
CMPK2,-0.019024357745912157
KLF2,-0.11337393527904593
NPTX1,-0.08423025991765798
AQP3,-0.02323813042952283
TSPAN18,-0.010527293007160488
TNFSF14,-0.03041148113686898
TMEM229B,-0.11669072129852887
CCL1,-0.10980733151904642
LANCL2,-0.08180300945569496
LINC00861,0.008536750032580365
ITGA6,-0.05657895164032345
KLF3,0.009880595673236625
CCR1,-0.12134609684163244
ARHGEF11,-0.04214888102050329
PTGIS,0.01810299961803219
MAP1A,0.010883712629262687
RXRA,-0.16752349766286778
