,GSM,title,cell_type,hours,guide,donor
CART0077_RNAseq_NgsRun1_002,"""GSM8252547""","""CD4, 0h, RHOG, CART0077_D1""",CD4,0.0,RHOG,CART0077_D1
CART0077_RNAseq_NgsRun1_008,"""GSM8252553""","""CD8, 0h, RHOG, CART0077_D1""",CD8,0.0,RHOG,CART0077_D1
CART0077_RNAseq_NgsRun1_014,"""GSM8252559""","""CD4, 24h, RHOG, CART0077_D1""",CD4,24.0,RHOG,CART0077_D1
CART0077_RNAseq_NgsRun1_020,"""GSM8252565""","""CD8, 24h, RHOG, CART0077_D1""",CD8,24.0,RHOG,CART0077_D1
CART0077_RNAseq_NgsRun1_026,"""GSM8252571""","""CD4, 72h, RHOG, CART0077_D1""",CD4,72.0,RHOG,CART0077_D1
CART0077_RNAseq_NgsRun1_032,"""GSM8252577""","""CD8, 72h, RHOG, CART0077_D1""",CD8,72.0,RHOG,CART0077_D1
CART0077_RNAseq_NgsRun1_038,"""GSM8252583""","""CD4, 168h, RHOG, CART0077_D1""",CD4,168.0,RHOG,CART0077_D1
CART0077_RNAseq_NgsRun1_044,"""GSM8252589""","""CD8, 168h, RHOG, CART0077_D1""",CD8,168.0,RHOG,CART0077_D1
CART0077_RNAseq_NgsRun1_050,"""GSM8252595""","""CD4, 240h, RHOG, CART0077_D1""",CD4,240.0,RHOG,CART0077_D1
CART0077_RNAseq_NgsRun1_056,"""GSM8252601""","""CD8, 240h, RHOG, CART0077_D1""",CD8,240.0,RHOG,CART0077_D1
CART0077_RNAseq_NgsRun1_001,"""GSM8252546""","""CD4, 0h, SafeHarbor, CART0077_D1""",CD4,0.0,SafeHarbor,CART0077_D1
CART0077_RNAseq_NgsRun1_007,"""GSM8252552""","""CD8, 0h, SafeHarbor, CART0077_D1""",CD8,0.0,SafeHarbor,CART0077_D1
CART0077_RNAseq_NgsRun1_013,"""GSM8252558""","""CD4, 24h, SafeHarbor, CART0077_D1""",CD4,24.0,SafeHarbor,CART0077_D1
CART0077_RNAseq_NgsRun1_019,"""GSM8252564""","""CD8, 24h, SafeHarbor, CART0077_D1""",CD8,24.0,SafeHarbor,CART0077_D1
CART0077_RNAseq_NgsRun1_025,"""GSM8252570""","""CD4, 72h, SafeHarbor, CART0077_D1""",CD4,72.0,SafeHarbor,CART0077_D1
CART0077_RNAseq_NgsRun1_031,"""GSM8252576""","""CD8, 72h, SafeHarbor, CART0077_D1""",CD8,72.0,SafeHarbor,CART0077_D1
CART0077_RNAseq_NgsRun1_037,"""GSM8252582""","""CD4, 168h, SafeHarbor, CART0077_D1""",CD4,168.0,SafeHarbor,CART0077_D1
CART0077_RNAseq_NgsRun1_043,"""GSM8252588""","""CD8, 168h, SafeHarbor, CART0077_D1""",CD8,168.0,SafeHarbor,CART0077_D1
CART0077_RNAseq_NgsRun1_049,"""GSM8252594""","""CD4, 240h, SafeHarbor, CART0077_D1""",CD4,240.0,SafeHarbor,CART0077_D1
CART0077_RNAseq_NgsRun1_055,"""GSM8252600""","""CD8, 240h, SafeHarbor, CART0077_D1""",CD8,240.0,SafeHarbor,CART0077_D1
CART0077_RNAseq_NgsRun1_004,"""GSM8252549""","""CD4, 0h, RHOG, CART0077_D2""",CD4,0.0,RHOG,CART0077_D2
CART0077_RNAseq_NgsRun1_010,"""GSM8252555""","""CD8, 0h, RHOG, CART0077_D2""",CD8,0.0,RHOG,CART0077_D2
CART0077_RNAseq_NgsRun1_016,"""GSM8252561""","""CD4, 24h, RHOG, CART0077_D2""",CD4,24.0,RHOG,CART0077_D2
CART0077_RNAseq_NgsRun1_022,"""GSM8252567""","""CD8, 24h, RHOG, CART0077_D2""",CD8,24.0,RHOG,CART0077_D2
CART0077_RNAseq_NgsRun1_028,"""GSM8252573""","""CD4, 72h, RHOG, CART0077_D2""",CD4,72.0,RHOG,CART0077_D2
CART0077_RNAseq_NgsRun1_034,"""GSM8252579""","""CD8, 72h, RHOG, CART0077_D2""",CD8,72.0,RHOG,CART0077_D2
CART0077_RNAseq_NgsRun1_040,"""GSM8252585""","""CD4, 168h, RHOG, CART0077_D2""",CD4,168.0,RHOG,CART0077_D2
CART0077_RNAseq_NgsRun1_046,"""GSM8252591""","""CD8, 168h, RHOG, CART0077_D2""",CD8,168.0,RHOG,CART0077_D2
CART0077_RNAseq_NgsRun1_052,"""GSM8252597""","""CD4, 240h, RHOG, CART0077_D2""",CD4,240.0,RHOG,CART0077_D2
CART0077_RNAseq_NgsRun1_058,"""GSM8252603""","""CD8, 240h, RHOG, CART0077_D2""",CD8,240.0,RHOG,CART0077_D2
CART0077_RNAseq_NgsRun1_003,"""GSM8252548""","""CD4, 0h, SafeHarbor, CART0077_D2""",CD4,0.0,SafeHarbor,CART0077_D2
CART0077_RNAseq_NgsRun1_009,"""GSM8252554""","""CD8, 0h, SafeHarbor, CART0077_D2""",CD8,0.0,SafeHarbor,CART0077_D2
CART0077_RNAseq_NgsRun1_015,"""GSM8252560""","""CD4, 24h, SafeHarbor, CART0077_D2""",CD4,24.0,SafeHarbor,CART0077_D2
CART0077_RNAseq_NgsRun1_021,"""GSM8252566""","""CD8, 24h, SafeHarbor, CART0077_D2""",CD8,24.0,SafeHarbor,CART0077_D2
CART0077_RNAseq_NgsRun1_027,"""GSM8252572""","""CD4, 72h, SafeHarbor, CART0077_D2""",CD4,72.0,SafeHarbor,CART0077_D2
CART0077_RNAseq_NgsRun1_033,"""GSM8252578""","""CD8, 72h, SafeHarbor, CART0077_D2""",CD8,72.0,SafeHarbor,CART0077_D2
CART0077_RNAseq_NgsRun1_039,"""GSM8252584""","""CD4, 168h, SafeHarbor, CART0077_D2""",CD4,168.0,SafeHarbor,CART0077_D2
CART0077_RNAseq_NgsRun1_045,"""GSM8252590""","""CD8, 168h, SafeHarbor, CART0077_D2""",CD8,168.0,SafeHarbor,CART0077_D2
