gene,mean_CD4,mean_CD8,log2FC,pval,padj
ENSG00000172116,7.858341000230399,12.574073810148095,4.715732809917696,3.5069021046041567e-25,
ENSG00000153563,10.33131654499306,14.946025641630047,4.614709096636988,4.9095474851937424e-24,
ENSG00000256039,7.736294667937263,12.292207040921538,4.555912372984275,1.5279635323286945e-17,
ENSG00000254126,1.5927662604727086,5.673539241737486,4.0807729812647775,5.938030750711782e-16,
ENSG00000213809,3.263871647999139,6.923718116137693,3.659846468138554,6.511186931140655e-12,
ENSG00000134193,4.634892940456729,8.221899623118667,3.5870066826619373,1.2810697875909886e-13,
ENSG00000113721,4.268656734782886,7.839965736767733,3.5713090019848472,5.134264787369562e-10,
ENSG00000187862,5.147665596681642,8.683692281043706,3.5360266843620645,1.3602040671405719e-18,
ENSG00000176083,3.679582683415109,7.076446938333285,3.396864254918176,0.0007368789464578958,
ENSG00000169855,3.437244531669085,6.7379622921036235,3.3007177604345386,6.899250099981045e-09,
ENSG00000204136,1.6680205576272382,4.9392684137699625,3.2712478561427245,1.0507979564544635e-11,
ENSG00000227945,1.347210444548794,4.5313180592662645,3.1841076147174707,5.004219639294261e-10,
ENSG00000096264,1.7439695941200035,4.8880217382586295,3.1440521441386258,5.23251715485543e-08,
ENSG00000134545,5.735441258500724,8.829691955180893,3.0942506966801693,6.989384344280257e-09,
ENSG00000149294,4.254920566614438,7.221748049701085,2.9668274830866466,0.0001431164687420827,
ENSG00000183542,1.6854982841813488,4.648438266444302,2.962939982262953,2.844371461560623e-10,
ENSG00000060140,5.6221517449665255,8.573567902435833,2.951416157469308,6.005150022163188e-15,
ENSG00000255819,2.743075260591139,5.651885899826578,2.9088106392354387,1.124531423616918e-08,
ENSG00000261371,8.159260446747291,11.05711881073769,2.897858363990398,3.671793937240053e-11,
ENSG00000198353,3.25093400247452,6.135326614536536,2.8843926120620162,4.449089324330529e-11,
ENSG00000205810,3.8240168277632742,6.703307845040172,2.8792910172768975,1.2058539851623818e-07,
ENSG00000203747,2.173770231672337,5.041649611423344,2.8678793797510065,1.4215013027486315e-07,
ENSG00000196814,5.3893127389388935,8.25166146164837,2.862348722709476,3.524679751839454e-09,
ENSG00000100427,4.063179598390405,6.88460871530774,2.8214291169173356,1.325562781067761e-06,
ENSG00000156886,4.588989055491508,7.348095909485418,2.7591068539939103,3.392665461720407e-05,
ENSG00000232208,3.995635844763212,6.71577899772337,2.720143152960158,2.0028310771986818e-09,
ENSG00000122223,6.5538673481500185,9.199529379600277,2.645662031450258,4.0048081223179335e-10,
ENSG00000162692,5.407074969067133,8.005317148830542,2.5982421797634094,0.0005001185083447909,
ENSG00000276070,5.891236135962776,8.43612909038598,2.5448929544232044,0.00046211504265008206,
ENSG00000113758,9.000423707171846,11.440993534050602,2.4405698268787557,8.047971909347052e-15,
ENSG00000105374,11.319821934601187,13.746992154336253,2.427170219735066,1.6071660831327552e-10,
ENSG00000172543,11.09301264993628,13.481123070638349,2.388110420702068,9.313047372038315e-08,
ENSG00000276085,5.402928187998452,7.765064890000266,2.3621367020018145,0.0020395869623122008,
ENSG00000189013,1.9711124623245666,4.323485086001434,2.3523726236768674,2.2137912677968935e-07,
ENSG00000145284,4.34998423758725,6.689295942087841,2.3393117045005907,5.961887469508759e-12,
ENSG00000233673,4.317242076088964,6.622321585146845,2.3050795090578813,7.709387989938572e-13,
ENSG00000113088,5.79677434129528,8.081706675307228,2.2849323340119474,0.004388422272983979,
ENSG00000137441,6.53246762038809,8.800275245280021,2.2678076248919314,1.3700962850567123e-09,
ENSG00000256155,0.8277234366404765,3.0782721222801817,2.2505486856397052,3.8720683627986464e-13,
ENSG00000182580,2.851421863049568,5.099711130665738,2.24828926761617,5.1224033520911705e-11,
ENSG00000104972,3.72671560235082,5.963625079948048,2.236909477597228,1.3312538591696153e-05,
ENSG00000100321,3.081096085162357,5.315507718335611,2.234411633173254,0.00080168528692501,
ENSG00000154277,4.2481248081087415,6.478685445136739,2.230560637027997,1.6063927560908021e-06,
ENSG00000089692,11.035111238470334,13.241331581902477,2.2062203434321432,6.4638469752199055e-06,
ENSG00000131686,5.27656636501012,7.467098593874513,2.1905322288643934,5.752536892298449e-09,
ENSG00000101194,8.043977589168144,10.232744548690873,2.188766959522729,9.997518349412238e-11,
ENSG00000168676,3.402635144144191,5.559195141262745,2.1565599971185545,0.00029317655371741873,
ENSG00000119608,2.1192714190152593,4.240713504391212,2.1214420853759526,3.798340506843071e-07,
ENSG00000185271,0.8634030809035231,2.9837882550368477,2.1203851741333244,1.2983024619384067e-06,
ENSG00000160307,1.3262087648738041,3.3883627828830476,2.0621540180092435,3.693420728297269e-05,
ENSG00000158525,2.4673667339208047,4.4689725039248325,2.0016057700040277,0.0004088569279407518,
ENSG00000134539,8.855179550938942,10.850023531348903,1.9948439804099607,3.207416115209195e-05,
ENSG00000167094,4.365532381666589,6.333006141547685,1.9674737598810959,3.4680545099179634e-05,
ENSG00000277089,4.461911180467299,6.397729856190368,1.9358186757230698,3.0151759449654477e-06,
ENSG00000137731,2.581149849331583,4.503830711175226,1.9226808618436428,8.632266224395051e-08,
ENSG00000205809,5.073589146591146,6.991767247047662,1.9181781004565162,0.01225323794084221,
ENSG00000100450,6.610131658676843,8.512730999982171,1.9025993413053284,1.43618169692964e-08,
ENSG00000275302,11.046105703185658,12.935460123499384,1.889354420313726,0.002662531198134153,
ENSG00000211935,2.57067658355677,4.399780515693311,1.8291039321365408,4.5742097095353456e-05,
ENSG00000007237,3.9361569996278463,5.759501023695819,1.8233440240679726,1.1380433598734989e-08,
ENSG00000177468,2.4936001299728687,4.303723073254059,1.8101229432811898,0.0005497385252524898,
ENSG00000171451,3.2665773974623016,5.074091026182017,1.807513628719715,0.000412894931203836,
ENSG00000155629,7.172915799304253,8.973955940589894,1.8010401412856414,1.3590630543387696e-06,
ENSG00000204252,7.163015032375335,8.961727820419735,1.7987127880444005,2.910408598849651e-05,
ENSG00000174807,0.15283208335737186,1.9504444857260492,1.7976124023686775,4.711544338903488e-06,
ENSG00000085741,4.7696341304723635,6.55891372485356,1.7892795943811963,2.4646307130974065e-07,
ENSG00000181449,1.8316957060358088,3.6171652141843755,1.7854695081485668,2.972269913624114e-06,
ENSG00000126259,2.659867290377551,4.441162685789123,1.7812953954115716,0.00024038647516293535,
ENSG00000271155,1.4137399075997197,3.1887061270426105,1.7749662194428908,4.929005495436215e-08,
ENSG00000189430,2.799944138848934,4.571105835931087,1.771161697082153,0.00046438829277241204,
ENSG00000187627,2.8166166265417343,4.5825442050302705,1.7659275784885362,2.519337874217417e-07,
ENSG00000178732,3.384486602097729,5.143184501961162,1.7586978998634333,2.1220495095112653e-05,
