gene,mean_early_0h,mean_late_168hplus,log2FC,pval,padj
ENSG00000004799,0.45765442469413947,6.9404015665820395,6.4827471418879,1.4869071664126626e-16,
ENSG00000205809,1.8970888255153338,8.375859293110677,6.478770467595344,1.610903810607021e-12,
ENSG00000275410,1.0993577345392305,7.509672927119028,6.410315192579797,3.2730191436656216e-13,
ENSG00000214491,0.29874687506009634,6.629424257448925,6.330677382388828,5.616739966435224e-20,
ENSG00000109684,1.1443472854719487,7.42421723451701,6.279869949045061,7.820622267864907e-15,
ENSG00000226777,0.4922408829673765,6.559315942852422,6.067075059885045,2.743884074795309e-15,
ENSG00000066056,5.553682740796845,11.457288643802471,5.903605903005626,5.675562321547599e-12,
ENSG00000287097,3.154104916715035,8.96048254609951,5.806377629384475,1.9866970683803203e-14,
ENSG00000102962,3.863154172906603,9.636215245239718,5.773061072333116,4.498844649084717e-10,
ENSG00000235304,1.9245614587540079,7.4049476889704735,5.480386230216466,4.296345422844922e-10,
ENSG00000273445,2.344997189657113,7.60608270232692,5.261085512669807,1.4460984221836958e-09,
ENSG00000116833,4.203312973791544,9.356267066553354,5.15295409276181,3.9043773974412e-11,
ENSG00000277258,3.2009286480125767,8.282724462269174,5.081795814256598,5.503186658732742e-11,
ENSG00000203867,1.4070142099257028,6.374112927604499,4.967098717678796,5.481952111364008e-09,
ENSG00000117318,3.9461426778074764,8.900931352338626,4.95478867453115,6.863490127465356e-12,
ENSG00000144837,1.1511484326014196,6.089958326977978,4.938809894376559,4.570196570584083e-13,
ENSG00000079337,2.725141987098881,7.635575014077219,4.910433026978337,6.8238126998106355e-12,
ENSG00000166016,5.781802773986332,10.631700349674807,4.849897575688475,3.3621881861994685e-21,
ENSG00000004468,7.037203328923888,11.878708711464503,4.841505382540615,1.1122092852476204e-14,
ENSG00000138316,3.652022987879325,8.424498825113625,4.7724758372343,3.408349400986042e-11,
ENSG00000234703,0.3255742163007099,5.068701025689832,4.743126809389122,2.0867970409022785e-12,
ENSG00000234956,1.7783208335737186,6.516873037302386,4.738552203728668,2.1257037948668745e-15,
ENSG00000095932,1.5878412933792287,6.299591186287206,4.711749892907977,2.918192498699605e-11,
ENSG00000110811,1.630722391115042,6.339737560488373,4.70901516937333,2.853873838668386e-12,
ENSG00000233534,1.9736788259000366,6.679065004949288,4.705386179049251,3.7120676806293484e-09,
ENSG00000101115,2.1897073284906,6.893109680784637,4.703402352294036,1.3818690239596949e-09,
ENSG00000197057,0.930827083453526,5.633748743790002,4.702921660336476,2.236596817029252e-14,
ENSG00000131831,1.46256223211527,6.146992640991712,4.684430408876442,2.1389637222573842e-13,
ENSG00000238005,2.141495975860456,6.805299215628778,4.663803239768322,7.85697971726474e-14,
ENSG00000100625,2.5424518950712756,7.192835631925788,4.650383736854512,1.1685831164090606e-10,
ENSG00000287245,0.26416041678685936,4.901969780191728,4.637809363404869,1.2201617244793148e-13,
ENSG00000105974,1.7628025995084717,6.355639675402551,4.592837075894079,9.085970111747635e-12,
ENSG00000146054,3.327573875774464,7.850948515113899,4.523374639339435,1.6388114550301262e-13,
ENSG00000147570,1.353672205349568,5.856619454464718,4.50294724911515,6.563593543056964e-10,
ENSG00000197249,0.5141604167868593,4.9877870269065,4.4736266101196405,1.7774381688654924e-12,
ENSG00000060566,5.518525632660759,9.946790087205557,4.428264454544798,7.440304857518399e-17,
ENSG00000268041,3.552489258368793,7.956168059043382,4.403678800674589,5.553408195438957e-07,
ENSG00000073282,4.819367317079638,9.204238117847103,4.384870800767465,2.2688247507115916e-11,
ENSG00000165801,1.2481066602916597,5.6328445331599255,4.384737872868266,9.393770691561015e-10,
ENSG00000217482,4.227607582487889,8.53435921886196,4.306751636374071,3.3001133411514644e-09,
ENSG00000167617,0.5141604167868593,4.794181058409971,4.2800206416231115,1.5371267132839005e-14,
ENSG00000079931,1.484481765934753,5.738479364093767,4.253997598159014,2.353654291996619e-15,
ENSG00000110777,5.498584547267369,9.722200641927625,4.2236160946602554,1.156109812245516e-13,
ENSG00000118257,6.864472137016334,11.075611438624144,4.211139301607809,2.007205988331868e-07,
ENSG00000229425,0.3474937501201927,4.540287084399891,4.192793334279698,1.4899238856174226e-10,
ENSG00000154065,0.4922408829673765,4.657819087771811,4.165578204804435,1.0316289384478694e-11,
ENSG00000143318,2.328722788418638,6.48979451965766,4.161071731239022,4.252135400355266e-08,
ENSG00000115008,2.309160362665962,6.468370780184947,4.159210417518985,5.386359734705054e-13,
ENSG00000259674,1.1243210913608062,5.278253055251631,4.153931963890825,1.7814864278123453e-12,
ENSG00000105419,1.2459403929139143,5.394032007384038,4.148091614470124,7.449642616962292e-11,
ENSG00000205810,2.522510730065084,6.664160189579788,4.141649459514705,4.8727435900785285e-05,
ENSG00000154269,4.759451488420438,8.893172359752095,4.133720871331657,5.789538124872111e-07,
ENSG00000141469,5.1442876000259705,9.21449166530549,4.070204065279519,3.824837186895656e-15,
ENSG00000171124,0.5833333333333334,4.642053617549779,4.058720284216446,9.003242990748229e-07,
ENSG00000157680,4.149788863991833,8.182263921624598,4.032475057632765,4.180589823152584e-09,
ENSG00000188886,1.2135202020184226,5.243864480805933,4.030344278787511,5.8107446481176345e-11,
ENSG00000043039,0.29874687506009634,4.302435897909504,4.003689022849407,3.0183119677921525e-17,
ENSG00000110900,0.25,4.2232822748521075,3.9732822748521075,1.3624174431020476e-15,
ENSG00000115523,12.38405436799408,16.349309717745136,3.9652553497510556,1.8478798027261124e-15,
ENSG00000071909,2.0303773313833564,5.988623621968365,3.958246290585009,3.5138326668471053e-09,
