sample_id,GSM,title,cell_type,hours,guide,donor,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
CART0077_RNAseq_NgsRun1_001,"""GSM8252546""","""CD4, 0h, SafeHarbor, CART0077_D1""",CD4,0,SafeHarbor,CART0077_D1,-36.608979626139515,-31.024520742926704,-11.759580183838915,-2.347379030442331,-14.99968712360787,-9.153061999665459,-2.2598495617804613,7.54789201662875,-5.554880801799072,2.444652656394962,-1.783244498422475,-8.906769729940274,3.175437203081054,-1.2206325624311083,-3.4167507251741673,-0.9736833755703278,-2.6297598291556863,0.3045928835224916,0.6693436196729198,3.5325761377861817
CART0077_RNAseq_NgsRun1_002,"""GSM8252547""","""CD4, 0h, RHOG, CART0077_D1""",CD4,0,RHOG,CART0077_D1,-38.726879078048746,-31.195909337030688,-10.533219462663498,-3.0041448680582943,-15.452616139287608,-7.87510516116969,-2.3345744487804465,9.496644482817697,-6.437116441358228,3.754927396085775,-1.7875563044881417,-5.944061867193441,1.3342722503081665,-0.6405308975417804,-2.797774025382945,-2.614059553773501,-2.3494281206705354,-0.28400389714964364,-1.4338590175426444,1.2296875690778069
CART0077_RNAseq_NgsRun1_003,"""GSM8252548""","""CD4, 0h, SafeHarbor, CART0077_D2""",CD4,0,SafeHarbor,CART0077_D2,-30.944237138486017,-29.247542395151296,-16.600241218324186,-0.46199183876879873,-11.289209602126668,-9.726801191007432,11.78796160302755,-3.6841162976279995,-3.6604948945177864,-2.790931192668493,0.5125766726428597,-6.63677272032075,1.5662469643595354,-1.4282282181844643,6.346484148938626,2.799048117521738,-2.150188672450355,2.857537694949798,2.9668535350254057,-0.38426561605451126
CART0077_RNAseq_NgsRun1_004,"""GSM8252549""","""CD4, 0h, RHOG, CART0077_D2""",CD4,0,RHOG,CART0077_D2,-39.02863096789431,-31.262182414083778,-11.640998566866328,-3.2575251639630878,-14.18381731261294,-6.049384705942215,12.044974276568535,2.6465796882533223,-7.590086118750098,2.380307674908459,-1.192829151536881,-1.0656611246116783,-0.9635583471415917,1.4899299779339155,4.656183550261963,-0.55928602326367,0.7210920207861428,2.4263617149786953,-3.8930786286520367,-3.277491573382485
CART0077_RNAseq_NgsRun1_005,"""GSM8252550""","""CD4, 0h, SafeHarbor, CART0077_D3""",CD4,0,SafeHarbor,CART0077_D3,-39.389333725675435,-32.215398522717784,-9.875385092562835,-7.902223431495454,-21.83466933336898,12.375365121796108,-1.9410113493014995,-1.475372549629323,-10.674327022522672,2.4841615052268304,-2.5043125035070437,4.270356657535177,-1.5019219828026145,-1.6248594350698873,1.2132621090460434,-0.3045626625720586,2.625937540392826,-0.8615738122531236,1.8189059748625707,-0.19825420513381029
CART0077_RNAseq_NgsRun1_006,"""GSM8252551""","""CD4, 0h, RHOG, CART0077_D3""",CD4,0,RHOG,CART0077_D3,-41.41042736071543,-32.971196368892045,-8.200994726830295,-8.9855934286837,-22.42056491607911,13.196184497351405,-1.5599929038704061,-0.1483991194565725,-12.132194651678105,3.8576345118923236,-3.083391304390438,4.41525021225731,-2.3183032827638885,-0.23866088249843884,0.8645388436584561,0.10891676294646835,3.39292840322501,0.27508176338928136,-0.5938070618234813,-0.5182935384294871
CART0077_RNAseq_NgsRun1_007,"""GSM8252552""","""CD8, 0h, SafeHarbor, CART0077_D1""",CD8,0,SafeHarbor,CART0077_D1,-31.184271257091584,-31.69757491028234,-28.260155107245907,1.0868022874971854,10.74986805136167,-5.050863954211519,-5.9750766758023985,6.532588071029954,8.938087073507099,-1.1400002864786392,1.3260933438703575,-3.3368710772659376,1.176997883090072,0.7605898803180212,-3.7331504599313736,-0.07071925102015353,-1.2566000873707612,-0.7124410275128743,2.796442295274805,1.7768676869096889
CART0077_RNAseq_NgsRun1_008,"""GSM8252553""","""CD8, 0h, RHOG, CART0077_D1""",CD8,0,RHOG,CART0077_D1,-32.13359733727664,-31.46804742467802,-27.87407284781356,0.050970870504392564,10.199620804469047,-4.621336564529709,-5.951783953892647,7.148780185239502,8.446498693069314,1.121055223098426,-0.05879735119071569,-2.343515364227841,1.2435267085830433,0.2619992513714221,-4.120551430744461,-1.2621862166728786,-1.4750608735183366,-2.134614096421525,-0.028908037353270178,1.1100649425099471
CART0077_RNAseq_NgsRun1_009,"""GSM8252554""","""CD8, 0h, SafeHarbor, CART0077_D2""",CD8,0,SafeHarbor,CART0077_D2,-29.00761371554449,-30.41105502746914,-30.704952958615596,1.710287520108944,12.377316061944562,-5.336508140778442,8.324291556997705,-2.863259198908393,9.16896081294276,-5.1882668809555135,4.43524676529125,-0.8785931608204071,-0.9255890465323878,1.0272758897346623,5.141670187024554,1.042262369170181,-2.512018354329558,2.5351408835824585,1.4214304189705629,-2.8905338999057593
CART0077_RNAseq_NgsRun1_010,"""GSM8252555""","""CD8, 0h, RHOG, CART0077_D2""",CD8,0,RHOG,CART0077_D2,-32.843124311808346,-31.371437988897156,-29.597909079315524,-0.6101014654497009,9.983799492388563,-3.7298928932107844,8.486590136263107,0.9302560800485175,7.607248374226698,-1.1787174579416553,3.100753187215672,3.8277033081447014,-1.118011276378841,2.1595448912275357,4.345219554189232,-2.2319565646557282,0.1718355997479921,0.6401469979849659,-3.578927930884745,-4.616083223439701
