Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,E2F Targets,118/200,3.0741385951432724e-54,1.5063279116202037e-52,0,0,10.238304678128747,1261.5287880366518,DCLRE1B;POP7;TFRC;DSCC1;CSE1L;SMC6;MKI67;SMC4;WDR90;MYC;CHEK1;STMN1;KPNA2;TMPO;TIPIN;LIG1;HUS1;CDC25A;CDC25B;ILF3;DDX39A;MELK;MSH2;CCNE1;ZW10;TIMELESS;SRSF2;TP53;ASF1B;SNRPB;SLBP;NUP205;DNMT1;CDCA3;PRKDC;SHMT1;NOLC1;HMMR;RAD51AP1;PRDX4;ORC6;RACGAP1;LYAR;PLK4;XRCC6;PLK1;PA2G4;PAICS;EIF2S1;STAG1;KIF18B;DIAPH3;NASP;UBE2S;CDK4;KIF4A;ANP32E;HNRNPD;CDK1;EZH2;TOP2A;H2AX;MCM7;SUV39H1;HMGB3;BRCA1;CTCF;LMNB1;SYNCRIP;MYBL2;TK1;POLE;DLGAP5;TCF19;HELLS;RFC3;RFC2;TUBB;CTPS1;TUBG1;SMC1A;NME1;RAD51C;ESPL1;MCM3;MCM4;BIRC5;MCM5;MCM6;DCTPP1;MCM2;PCNA;PPM1D;UNG;PSMC3IP;POLD1;TRA2B;PPP1R8;USP1;RBBP7;E2F8;GINS1;NOP56;RANBP1;DUT;CDKN2C;RRM2;GINS3;GINS4;ATAD2;DEK;SSRP1;POLE4;CENPM;TRIP13;SPC24;RAN;SPC25
MSigDB_Hallmark_2020,G2-M Checkpoint,93/200,9.049954317525708e-32,2.2172388077937987e-30,0,0,6.112320145589657,436.9084194761545,TOP2A;H2AX;SUV39H1;AMD1;HNRNPU;HMGB3;KIF11;CTCF;MKI67;SMC4;SMC2;KIF15;LMNB1;SYNCRIP;RPS6KA5;CHAF1A;SNRPD1;EXO1;MYC;CHEK1;STMN1;PBK;MYBL2;FBXO5;KPNA2;HMGN2;POLE;TMPO;PRMT5;SMARCC1;RBM14;HUS1;KIF23;KNL1;SMC1A;CDC25A;CDC25B;TRAIP;CCNA2;SLC7A5;ILF3;SFPQ;DDX39A;TFDP1;RBL1;ESPL1;EWSR1;INCENP;NCL;SRSF2;MCM3;BIRC5;MCM5;MCM6;ATF5;MCM2;DTYMK;ODC1;NOLC1;HMMR;CENPA;SLC7A1;ORC6;CDC45;RACGAP1;TRA2B;G3BP1;E2F1;RAD54L;E2F2;SRSF10;PLK4;SLC12A2;GINS2;HSPA8;H2AZ2;STIL;CDKN2C;PLK1;CDC7;FANCC;CDC6;NDC80;CUL4A;TPX2;STAG1;NASP;UBE2S;CDK4;KIF4A;HNRNPD;CDK1;EZH2
MSigDB_Hallmark_2020,Myc Targets V1,84/200,4.90224558608046e-25,8.007001123931418e-24,0,0,5.071307111197837,283.866080548085,YWHAE;EIF4A1;HSP90AB1;MCM7;HNRNPU;HNRNPR;PWP1;UBE2L3;RRP9;SYNCRIP;SNRPD1;MYC;PSMD3;DHX15;PSMD1;SNRPD3;TXNL4A;KPNA2;CCT3;CCT2;SMARCC1;NCBP1;CAD;CTPS1;NME1;CCNA2;PSMA4;TFDP1;PSMA2;TCP1;SRSF2;SNRPG;NHP2;SRSF3;MCM4;MCM5;MCM6;SRSF7;MCM2;HDAC2;PCNA;SF3B3;PSMD14;ODC1;NOLC1;DDX21;U2AF1;TYMS;PSMA7;SRM;LDHA;PRDX4;CDC45;PSMB2;TRA2B;G3BP1;FAM120A;USP1;PGK1;SNRPB2;CCT7;CCT5;NOP56;RANBP1;XRCC6;DUT;HNRNPA3;RRM1;NOP16;PA2G4;DEK;MRPL23;HSPE1;EIF2S1;AIMP2;CDK4;HNRNPA2B1;CDK2;POLE3;HNRNPD;SSBP1;EIF4G2;RAN;EIF3B
MSigDB_Hallmark_2020,Myc Targets V2,28/58,5.0485853707280823e-11,6.184517079141901e-10,0,0,6.423399209486166,152.29447836971178,NIP7;NOLC1;NOC4L;TMEM97;RABEPK;RRP9;SRM;UNG;TCOF1;MYC;UTP20;SLC19A1;PLK4;NOP56;NOP16;PLK1;PA2G4;PPRC1;HSPE1;BYSL;AIMP2;CDK4;GRWD1;NDUFAF4;MRTO4;MCM4;MCM5;DCTPP1
MSigDB_Hallmark_2020,mTORC1 Signaling,58/200,8.660743062487832e-10,8.487528201238077e-09,0,0,2.8264788732394366,58.980277122390575,TES;TFRC;ARPC5L;SLC2A1;SLA;ATP2A2;TMEM97;ENO1;RRP9;FDXR;PHGDH;CTSC;ACTR3;TUBG1;TUBA4A;CDC25A;SLC7A5;PSMA3;DDX39A;PSMA4;PSME3;MTHFD2L;MCM4;EEF1E1;BCAT1;MCM2;PPP1R15A;NUP205;TOMM40;NUFIP1;PSMD14;STC1;CXCR4;CFP;ADD3;CORO1A;UNG;STIP1;LDHA;EBP;PRDX1;PGK1;ABCF2;NIBAN1;XBP1;EGLN3;SDF2L1;RRM2;PNO1;TXNRD1;PLK1;GSR;HSPE1;DHFR;CD9;PSMG1;CALR;LGMN
MSigDB_Hallmark_2020,IL-2/STAT5 Signaling,56/199,5.604461171500504e-09,4.5769766233920785e-08,0,0,2.707607340700866,51.44373509349588,NRP1;CD83;CSF2;LCLAT1;SPRED2;CCND3;GLIPR2;MYC;SCN9A;NFKBIZ;TNFSF10;PIM1;TNFRSF8;DENND5A;SLC39A8;CCR4;IL10;BATF3;IL4R;CISH;IL13;FLT3LG;EMP1;RHOH;ETV4;CKAP4;ADAM19;TIAM1;PLSCR1;CCNE1;IL3RA;ITGA6;LTB;UMPS;PLEC;AHNAK;PTGER2;ODC1;FURIN;NDRG1;MUC1;SOCS1;MAP6;ICOS;GBP4;PRNP;XBP1;SPRY4;LIF;CDC6;BATF;CXCL10;P2RX4;SELL;MAFF;BCL2
MSigDB_Hallmark_2020,Mitotic Spindle,55/199,1.527475218954046e-08,1.0692326532678321e-07,0,0,2.6395825009988014,47.50473666949197,TOP2A;YWHAE;ITSN1;KIF11;SMC4;KIF15;LMNB1;ARHGDIA;KIF1B;FBXO5;DLGAP5;ARHGEF11;PLEKHG2;CEP131;KIF23;ACTN4;SMC1A;TUBA4A;CD2AP;BCR;TIAM1;CLIP1;ESPL1;BIN1;INCENP;GEMIN4;MYH9;BIRC5;EZR;MAPRE1;KPTN;SOS1;LLGL1;ARF6;PXN;ABR;RACGAP1;EPB41L2;CEP72;FLNA;PCNT;PDLIM5;SAC3D1;GSN;PLK1;SSH2;NDC80;NET1;ANLN;TPX2;NIN;KIF4A;ALMS1;TUBGCP5;CDK1
MSigDB_Hallmark_2020,Interferon Alpha Response,33/97,5.769464859752286e-08,3.5337972265982745e-07,0,0,3.5487252475247524,59.150512312652886,LGALS3BP;CNP;SAMD9;IFI35;DDX60;USP18;LAMP3;EPSTI1;CASP1;TRIM26;GBP4;HERC6;IL4R;PNPT1;RSAD2;IL15;MX1;TAP1;HLA-C;EIF2AK2;TDRD7;NMI;PARP9;PARP12;PSMB9;PROCR;CXCL10;PLSCR1;PSMA3;SELL;LPAR6;IRF1;CMPK2
MSigDB_Hallmark_2020,UV Response Up,44/158,3.2156538153849105e-07,1.7507448550428957e-06,0,0,2.66030230708035,39.771692277234806,H2AX;RET;FEN1;TFRC;CNP;AMD1;CLTB;HNRNPU;DDX21;FURIN;CTSV;AQP3;RASGRP1;STIP1;CCND3;GRPEL1;BID;ATP6V1C1;MARK2;KCNH2;CDKN2B;DGAT1;PLCL1;PRKCD;SIGMAR1;TAP1;GGH;CDC5L;MRPL23;TUBA4A;NFKBIA;DNAJA1;OLFM1;PSMC3;CCNE1;IRF1;CDK2;POLE3;SELENOW;PPIF;NPTXR;FKBP4;SLC25A4;ATF3
MSigDB_Hallmark_2020,Interferon Gamma Response,50/200,1.8462631050734584e-06,9.046689214859944e-06,0,0,2.298245614035088,30.342235869188904,LGALS3BP;EIF4E3;SECTM1;IFI35;TNFSF10;EPSTI1;PIM1;CASP1;TRIM26;ITGB7;UPP1;HERC6;GBP6;IL4R;RSAD2;IL15;HLA-B;TAP1;ARID5B;PLSCR1;PSMA3;PSMA2;IRF1;OAS3;CMPK2;NLRC5;DDX60;SAMHD1;USP18;SOCS3;RNF213;APOL6;SOCS1;PSMB2;GBP4;PNPT1;AUTS2;STAT1;MX2;MX1;EIF2AK2;TDRD7;NMI;PARP12;PSMB9;NFKBIA;CXCL10;CD69;MYD88;PFKP
MSigDB_Hallmark_2020,PI3K/AKT/mTOR  Signaling,28/105,9.786329921622192e-05,0.0004359365146904431,0,0,2.4958677685950414,23.04169888949881,RALB;YWHAB;SLC2A1;SLA;ITPR2;CXCR4;RPTOR;PPP2R1B;ARHGDIA;MKNK1;CFL1;E2F1;AKT1;THEM4;MAPK1;PLCG1;HRAS;ACTR3;PPP1CA;IL4;TIAM1;CDK4;CDK2;UBE2N;CDK1;CALR;PFN1;MYD88
MSigDB_Hallmark_2020,Inflammatory Response,44/200,0.00019644012103562516,0.0008021304942288027,0,0,1.939354996634233,16.55269142490868,PTGER4;CXCL8;PTGER2;ITGB3;PTAFR;GNAI3;KCNA3;ATP2A2;ACVR1B;SLC7A1;RASGRP1;GNA15;MYC;LAMP3;TNFSF10;KIF1B;TIMP1;CD55;IL10;GABBR1;IL4R;SLC31A2;TNFSF15;IL15;ADRM1;LIF;OSM;EIF2AK2;NMI;EMP3;ACVR2A;TLR1;NFKBIA;CXCL10;P2RX4;SELL;ADORA2B;IRF1;LTA;CD69;IL7R;TLR3;HBEGF;IFNAR1
MSigDB_Hallmark_2020,Apoptosis,36/161,0.0005185211628084096,0.0019544259213547,0,0,1.9775162569389373,14.958980488859382,TOP2A;SLC20A1;LEF1;BCL10;BRCA1;TNF;CLU;EBP;GNA15;PAK1;ANKH;PEA15;LMNA;TNFSF10;FDXR;CASP1;TIMP1;BID;NEFH;PDGFRB;CREBBP;ANXA1;GSN;GSR;TAP1;EMP1;CDC25B;TGFBR3;DNAJA1;CYLD;IRF1;CDK2;RARA;BAX;CD69;ATF3
MSigDB_Hallmark_2020,DNA Repair,33/150,0.0011612090867668,0.0040642318036838,0,0,1.9352627570449352,13.079073712735052,FEN1;GTF2A2;PCNA;USP11;TYMS;POLD1;SAC3D1;POLH;RFC5;RFC3;DUT;LIG1;RFC2;ALYREF;ADRM1;VPS37D;NME4;SSRP1;GTF2H3;ZWINT;RBX1;NME1;POLE4;POLA1;RAD51;POLR3C;POLR1C;CMPK2;ERCC8;SRSF6;UMPS;TP53;ITPA
MSigDB_Hallmark_2020,Allograft Rejection,41/200,0.0014014964448202,0.0045782217197462,0,0,1.7706089159751426,11.633280770289751,UBE2D1;BCL10;BRCA1;CFP;TNF;IL27RA;CCND3;SOCS1;CCL4;AKT1;FLNA;IL12A;TIMP1;CCR5;IL12RB1;CCR2;CCR1;IL10;EIF5A;IL4R;IL15;STAT1;TRAT1;GALNT1;KRT1;IL13;LIF;TAP2;TAP1;ACVR2A;NME1;TLR1;IL4;CD40LG;IFNG;UBE2N;DEGS1;LTB;CD247;BCAT1;TLR3
MSigDB_Hallmark_2020,Androgen Response,24/100,0.0015207343264627,0.0046572488747921,0,0,2.164167324388319,14.042333757205288,ABCC4;RAB4A;XRCC6;TNFAIP8;XRCC5;TMEM50A;SRF;GSR;ADRM1;GNAI3;ARID5B;DBI;PA2G4;IQGAP2;NDRG1;CCND3;MAF;ANKH;ADAMTS1;AKT1;CENPN;GPD1L;PDLIM5;FKBP5
MSigDB_Hallmark_2020,Unfolded Protein Response,25/113,0.0039986505808074,0.0115255222623274,0,0,1.9463535871944873,10.74737198653732,H2AX;EIF4A1;DCTN1;EIF4A3;NOLC1;SDAD1;RRP9;EXOSC10;KHSRP;BANF1;EXOSC2;NOP56;XBP1;WFS1;FUS;EIF2S1;SLC7A5;TUBB2A;DNAJA4;NHP2;GEMIN4;CALR;ATP6V0D1;ATF3;EIF4G1
MSigDB_Hallmark_2020,Estrogen Response Early,39/200,0.004506471494657,0.0122676168465662,0,0,1.6618025983888904,8.977457807489374,RET;SLC2A1;ADCY1;ADD3;AQP3;CELSR2;RASGRP1;UGCG;MUC1;PODXL;MYC;RBBP8;SH3BP5;MYBL1;MICB;SVIL;XBP1;SLC16A1;ZNF185;BCL11B;CISH;TIPARP;IGFBP4;WFS1;ITPK1;SNX24;CBFA2T3;IL17RB;TIAM1;SLC7A5;OLFM1;ADCY9;RARA;PPIF;BCL2;MAPT;FKBP4;RETREG1;FKBP5
