Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,TNF-alpha Signaling via NF-kB,60/200,4.426533231132165e-12,2.2132666155660824e-10,0,0,3.2401334074485826,84.70811799569293,CSF1;CD80;SERPINE1;PLEK;TNC;TNFAIP2;TNFAIP3;LITAF;SAT1;ICAM1;IFIT2;CCND1;PLAU;PHLDA2;JUNB;PHLDA1;KDM6B;KLF10;TGIF1;DUSP5;DUSP2;DUSP1;RIPK2;PLAUR;FOS;TRAF1;GEM;RHOB;IL1A;SGK1;SQSTM1;CD44;NFAT5;SDC4;CEBPD;SNN;CCL5;DNAJB4;MCL1;STAT5A;JUN;JAG1;LAMB3;GADD45A;PLK2;TNFRSF9;GFPT2;ZBTB10;G0S2;VEGFA;NR4A2;NR4A1;BMP2;NR4A3;BCL6;CLCF1;TRIP10;TNFSF9;FOSB;NFE2L2
MSigDB_Hallmark_2020,IL-2/STAT5 Signaling,50/199,1.6316951294034358e-07,4.079237823508589e-06,0,0,2.5247958119418596,39.458711306861666,CD86;ECM1;GUCY1B1;CSF1;IKZF2;IGF1R;ALCAM;CTLA4;ITGAV;TNFRSF4;PHLDA1;WLS;EOMES;GABARAPL1;GPX4;TNFRSF18;TRAF1;RHOB;SERPINB6;ARL4A;CDCP1;IRF4;COL6A1;PLIN2;IRF6;SMPDL3A;PLPP1;CD44;ABCB1;RGS16;FGL2;CST7;AGER;COCH;CD79B;IL1RL1;NT5E;SYNGR2;PLAGL1;SNX9;TNFRSF9;FAH;DHRS3;MYO1E;BMP2;P4HA1;SNX14;IL2RB;GALM;IL18R1
MSigDB_Hallmark_2020,Epithelial Mesenchymal Transition,43/200,7.317986860693791e-05,0.0012196644767822,0,0,2.0535523905852764,19.555137857149877,ECM1;TAGLN;SPARC;SERPINE2;SDC4;ITGB5;SERPINE1;TNC;TNFAIP3;LAMC1;FGF2;SAT1;THBS1;NT5E;EFEMP2;LGALS1;BASP1;SERPINH1;CD59;ITGAV;PDLIM4;CTHRC1;JUN;VCAM1;TNFRSF12A;DST;GADD45A;FUCA1;TPM2;PLAUR;P3H1;PCOLCE;GEM;RHOB;VEGFA;COL1A1;ACTA2;MMP14;COL5A3;COL7A1;COL6A3;FMOD;CD44
MSigDB_Hallmark_2020,Cholesterol Homeostasis,20/74,0.0002874938274409841,0.0035936728430123,0,0,2.766051219089893,22.555236814229477,STARD4;GSTM2;ACSS2;JAG1;TNFRSF12A;CHKA;ECH1;SEMA3B;PLAUR;HSD17B7;GNAI1;CXCL16;SQLE;ALCAM;SCD;ETHE1;TP53INP1;ALDOC;PPARG;DHCR7
MSigDB_Hallmark_2020,Hypoxia,40/200,0.0006144832641912025,0.005674440701679,0,0,1.8717316759537077,13.840948250153248,CDKN1B;SDC4;NCAN;SERPINE1;HDLBP;TNFAIP3;VLDLR;RBPJ;NR3C1;NDST1;FAM162A;STC2;KIF5A;HMOX1;IDS;ANKZF1;JUN;WSB1;CAVIN1;DUSP1;SIAH2;GAA;CAV1;PLAUR;PRKCA;FOS;AMPD3;KLHL24;HS3ST1;VEGFA;EXT1;P4HA1;P4HA2;CCNG2;DDIT4;ALDOC;PLIN2;KDELR3;PAM;CHST2
MSigDB_Hallmark_2020,UV Response Dn,31/144,0.0006809328842014843,0.005674440701679,0,0,2.0515481057714835,14.959984823210444,CDKN1B;INSIG1;SERPINE1;GCNT1;ICA1;PTPRM;VLDLR;LAMC1;NR3C1;TFPI;IGF1R;ATXN1;SIPA1L1;DBP;GRK5;AKT3;ERBB2;FYN;APBB2;FZD2;RBPMS;DUSP1;CAV1;PRKCA;SMAD7;COL1A1;DLC1;PPARG;MET;MGLL;ADGRL2
MSigDB_Hallmark_2020,Apoptosis,33/161,0.0011433634767403,0.006546946936767,0,0,1.927974759615385,13.059678683964467,APP;RNASEL;CDKN1B;PRF1;HSPB1;FASLG;SAT1;BCL2L11;CCND1;ERBB2;TIMP2;HMOX1;CD38;BMF;MCL1;JUN;TNFRSF12A;GPX4;GADD45A;CAV1;SMAD7;RHOB;CD2;IL1A;CCNA1;BMP2;FEZ1;CTH;PDCD4;TXNIP;SQSTM1;BCL2L2;CD44
MSigDB_Hallmark_2020,Estrogen Response Late,39/200,0.001178450448618,0.006546946936767,0,0,1.8127225406760443,12.224193940006012,KCNK5;FOXC1;SERPINA1;ST6GALNAC2;TMPRSS3;ARL3;PTGER3;NAB2;SEMA3B;PAPSS2;CCND1;PERP;MYB;ANXA9;CKB;DUSP2;SIAH2;ABCA3;TNNC1;CAV1;CACNA2D2;DNAJC12;PLAAT3;FOS;DHRS2;MAPK13;ALDH3A2;CCNA1;GALE;RAB31;TSPAN13;SCNN1A;PDCD4;PLXNB1;PKP3;DHCR7;SGK1;NBL1;CD44
MSigDB_Hallmark_2020,p53 Pathway,39/200,0.001178450448618,0.006546946936767,0,0,1.8127225406760443,12.224193940006012,APP;ABHD4;RRAD;RGS16;PDGFA;SAT1;RRP8;ZFP36L1;SERTAD3;GM2A;FAM162A;PERP;SESN1;RPL36;HMOX1;TP63;SLC19A2;TSPYL2;JUN;GADD45A;FBXW7;VDR;PLK2;FUCA1;VWA5A;IRAG2;FOS;PRKAB1;PTPN14;IL1A;BMP2;KRT17;DDIT4;TXNIP;TNFSF9;PLXNB2;CDH13;ANKRA2;MXD4
MSigDB_Hallmark_2020,Myogenesis,38/200,0.0021940248572545,0.0109701242862727,0,0,1.754487535358342,10.741003548587267,RYR1;APP;HDAC5;TAGLN;SPARC;ITGB5;ATP2A1;AEBP1;FGF2;SYNGR2;STC2;TNNI2;APOD;IGFBP7;CKB;PDLIM7;WWTR1;ACSL1;DAPK2;TNNC1;GAA;TPM2;PDE4DIP;IGF1;NAV2;OCEL1;MAPK12;COL1A1;PTP4A3;TNNT1;SCD;TNNT3;PLXNB2;COL6A3;CDH13;ITGA7;CASQ1;AGRN
MSigDB_Hallmark_2020,Inflammatory Response,37/200,0.0039641542536695,0.018018882971225,0,0,1.697012353979326,9.385263609346907,CSF1;RGS16;AQP9;SERPINE1;EBI3;ICAM4;SGMS2;NOD2;ICAM1;IL18RAP;RGS1;IRAK2;CCL5;C3AR1;CCR7;SCARF1;SCN1B;LYN;PTGIR;CCL22;SEMA4D;RIPK2;CD70;SLC31A1;TNFRSF9;SLC11A2;PLAUR;BST2;P2RX7;IL1A;MMP14;IL2RB;TNFSF9;NMUR1;MET;CHST2;IL18R1
MSigDB_Hallmark_2020,KRAS Signaling Up,36/200,0.0069485005422961,0.0289520855929007,0,0,1.640283039544131,8.150942691289602,SNAP25;ABCB1;RGS16;SEMA3B;TNFAIP3;PRDM1;TFPI;HDAC9;KIF5C;PLAU;C3AR1;APOD;CD37;KCNN4;EVI5;SCN1B;CBR4;MPZL2;CBX8;FCER1G;JUP;GALNT3;FUCA1;GFPT2;VWA5A;PLAUR;G0S2;TRAF1;GADD45G;LAT2;BMP2;TMEM158;TSPAN13;ZNF277;SDCCAG8;ENG
MSigDB_Hallmark_2020,Apical Junction,35/200,0.0118119369939171,0.0421854892639899,0,0,1.5842859735075303,7.032082459093986,CD86;NLGN3;CD274;NLGN2;INSIG1;AMIGO2;CTNND1;WNK4;INPPL1;ICAM4;ICAM5;PIK3CB;GNAI1;ICAM1;SGCE;TRO;AKT3;TSPAN4;CTNNA1;NRTN;MPZL1;TMEM8B;MPZL2;VCAM1;JUP;SLC30A3;LAMB3;LAYN;TRAF1;MAPK13;RASA1;FSCN1;CERCAM;ITGA9;NECTIN1
MSigDB_Hallmark_2020,Xenobiotic Metabolism,35/200,0.0118119369939171,0.0421854892639899,0,0,1.5842859735075303,7.032082459093986,MAOA;SHMT2;SERPINE1;AQP9;LCAT;SPINT2;CSAD;PAPSS2;NFS1;TKFC;ALDH2;ATOH8;PDK4;HMOX1;MAN1A1;APOE;GABARAPL1;SLC12A4;JUP;SMOX;GAD1;IDH1;ECH1;IGF1;PTGR1;FAH;UPB1;AP4B1;TNFRSF1A;DHRS7;NPC1;DDAH2;CYP2S1;LPIN2;BCAR1
MSigDB_Hallmark_2020,Estrogen Response Early,34/200,0.019467337596406,0.0648911253213534,0,0,1.529007865579462,6.022788301087064,KCNK5;FOXC1;TMPRSS3;ARL3;SLC1A1;SEMA3B;RHOBTB3;ASB13;PAPSS2;IGF1R;SEC14L2;INPP5F;CCND1;STC2;MYB;ANXA9;SLC19A2;KLF10;SLC37A1;SIAH2;ABCA3;GREB1;PLAAT3;FOS;NAV2;DHRS2;DHRS3;RAB31;DLC1;SCNN1A;UNC119;DHCR7;NBL1;CD44
MSigDB_Hallmark_2020,TGF-beta Signaling,12/54,0.0223478268660688,0.0698369589564653,0,0,2.128032915834695,8.088708856044047,TGIF1;KLF10;WWTR1;BMP2;RAB31;SERPINE1;ID3;JUNB;THBS1;SKIL;ENG;SMAD7
MSigDB_Hallmark_2020,Apical Surface,10/44,0.0305866133429063,0.0863818441179927,0,0,2.189763759926315,7.636128500958014,LYN;APP;AFAP1L2;IL2RB;PLAUR;AKAP7;HSPB1;LYPD3;GATA3;TMEM8B
MSigDB_Hallmark_2020,Adipogenesis,33/200,0.0310974638824773,0.0863818441179927,0,0,1.4744357438968216,5.1172194666053175,PHLDB1;CD151;PTGER3;BAZ2A;ADCY6;CPT2;ALDH2;DBT;ENPP2;APOE;DRAM2;MAP4K3;STAT5A;CAVIN1;GPX4;GADD45A;IDH1;EPHX2;ECH1;VEGFB;CHCHD10;FAH;DHRS7;ARL4A;BCL6;CCNG2;PDCD4;NABP1;ITGA7;PPARG;PLIN2;DHCR7;MGLL
MSigDB_Hallmark_2020,Interferon Gamma Response,31/200,0.0721867770568546,0.1899652027811963,0,0,1.3673591074234837,3.594101216671042,CD86;CD274;C1S;FGL2;TNFAIP2;TNFAIP3;CSF2RB;IFIT1;IFIT2;ICAM1;HLA-DMA;KLRK1;CCL5;DHX58;ST3GAL5;CD38;ZBP1;IFNAR2;VCAM1;RIPK2;PLA2G4A;BST2;ARL4A;LATS2;IFI27;MTHFD2;IRF4;IL2RB;TXNIP;XCL1;IRF5
MSigDB_Hallmark_2020,Allograft Rejection,30/200,0.1048654431040791,0.2527221143794183,0,0,1.3148301574150787,2.9650435688784733,CD86;AARS1;DYRK3;CSF1;CD80;GCNT1;PRF1;FASLG;ITGAL;RPL9;HDAC9;ICAM1;C2;HLA-DMA;IL18RAP;CCL5;APBB1;GBP2;LYN;IFNAR2;SRGN;CCL22;RIPK2;FGR;CD2;IRF4;CD7;IL2RB;CD28;KLRD1
MSigDB_Hallmark_2020,Pperoxisome,17/104,0.1061432880393556,0.2527221143794183,0,0,1.4547352809164178,3.262920790313449,GSTK1;ABCB1;ACSL1;IDH1;EPHX2;ECH1;ACSL4;PEX2;CEL;CLN8;DHRS3;HMGCL;ATXN1;DLG4;PEX6;PABPC1;FADS1
MSigDB_Hallmark_2020,Angiogenesis,7/36,0.1273880288732859,0.2895182474392861,0,0,1.7953478881860845,3.699345751435976,APP;THBD;JAG1;PDGFA;ITGAV;VEGFA;FGFR1
MSigDB_Hallmark_2020,Notch Signaling,6/32,0.1720854602014965,0.3626395829462158,0,0,1.715998830067271,3.0197530748930683,TCF7L2;JAG1;MAML2;CCND1;ST3GAL6;PRKCA
