sample_id,GSM,title,cell_type,hours,guide,donor,IL-2/STAT5 Signaling,Interferon Alpha Response,Interferon Gamma Response,Inflammatory Response,Apoptosis,E2F Targets,Oxidative Phosphorylation,PC1,PC2
CART0077_RNAseq_NgsRun1_001,"""GSM8252546""","""CD4, 0h, SafeHarbor, CART0077_D1""",CD4,0,SafeHarbor,CART0077_D1,3.2873078230552255,3.808795405303485,3.6084076220811525,2.2475352492472296,3.417554884801131,4.397542590072207,4.021529967896575,-36.608979626139515,-31.024520742926704
CART0077_RNAseq_NgsRun1_002,"""GSM8252547""","""CD4, 0h, RHOG, CART0077_D1""",CD4,0,RHOG,CART0077_D1,3.245423481981073,3.787795012750322,3.5781013826602193,2.2196718833078815,3.4069104050092904,4.333980791237653,4.002537682475848,-38.726879078048746,-31.195909337030688
CART0077_RNAseq_NgsRun1_003,"""GSM8252548""","""CD4, 0h, SafeHarbor, CART0077_D2""",CD4,0,SafeHarbor,CART0077_D2,3.3400019212514334,3.845678314815093,3.6767002878017925,2.2980568814154685,3.414868730831408,4.508214413924858,4.065112528233953,-30.944237138486017,-29.247542395151296
CART0077_RNAseq_NgsRun1_004,"""GSM8252549""","""CD4, 0h, RHOG, CART0077_D2""",CD4,0,RHOG,CART0077_D2,3.2417231660872243,3.8307335810327454,3.6151199317844838,2.233860922857769,3.397448045432975,4.347819068481121,4.007366161829561,-39.02863096789431,-31.262182414083778
CART0077_RNAseq_NgsRun1_005,"""GSM8252550""","""CD4, 0h, SafeHarbor, CART0077_D3""",CD4,0,SafeHarbor,CART0077_D3,3.1652705035356643,3.878052943599214,3.605778146488153,2.1878703478754464,3.3666914943741135,4.298774532822442,4.028794167593975,-39.389333725675435,-32.215398522717784
CART0077_RNAseq_NgsRun1_006,"""GSM8252551""","""CD4, 0h, RHOG, CART0077_D3""",CD4,0,RHOG,CART0077_D3,3.1454343936482387,3.884337748764785,3.599586803757016,2.1739653841830777,3.3447436427498767,4.235281896242009,3.9847743684252497,-41.41042736071543,-32.971196368892045
CART0077_RNAseq_NgsRun1_007,"""GSM8252552""","""CD8, 0h, SafeHarbor, CART0077_D1""",CD8,0,SafeHarbor,CART0077_D1,3.298282071665656,3.6963079728018617,3.597704115052838,2.2246355945864753,3.458421778545752,4.602435594222918,4.009195879809434,-31.184271257091584,-31.69757491028234
CART0077_RNAseq_NgsRun1_008,"""GSM8252553""","""CD8, 0h, RHOG, CART0077_D1""",CD8,0,RHOG,CART0077_D1,3.2967706876783867,3.681939553555105,3.583599845004643,2.203441076011951,3.4703329309657454,4.602908613310783,4.013730322940642,-32.13359733727664,-31.46804742467802
CART0077_RNAseq_NgsRun1_009,"""GSM8252554""","""CD8, 0h, SafeHarbor, CART0077_D2""",CD8,0,SafeHarbor,CART0077_D2,3.316892030031571,3.719515966545938,3.623519452364035,2.2393427810793503,3.42952658284081,4.6274920069096,4.028487154248741,-29.00761371554449,-30.41105502746914
CART0077_RNAseq_NgsRun1_010,"""GSM8252555""","""CD8, 0h, RHOG, CART0077_D2""",CD8,0,RHOG,CART0077_D2,3.2637943321327487,3.6987689244063153,3.566763874965485,2.190913207626297,3.427653918517808,4.620941613849933,4.0274617470619765,-32.843124311808346,-31.371437988897156
