,ensembl,loading,symbol
3861,CD4,-0.10266818383259088,CD4
6017,CYSLTR1,-0.07809813357248863,CYSLTR1
12640,IL17RB,-0.06458910862230322,IL17RB
17148,MAF,-0.05841125667124611,MAF
4494,CHDH,-0.05313994443996012,CHDH
12628,IL13,-0.052243305780490225,IL13
27261,RMND5B,-0.04974500864897239,RMND5B
24956,PMCH,-0.04893280178817056,PMCH
4329,CES4A,-0.04822807220168429,CES4A
9253,FRY,-0.0481072621785964,FRY
26237,PTPRM,-0.04728299111469477,PTPRM
32533,RPS4Y1,-0.046981700981850165,RPS4Y1
22156,NPTX1,-0.0466393106252465,NPTX1
17251,MAN1C1,-0.046350251557437584,MAN1C1
38440,TSHZ2,-0.046347825915774056,TSHZ2
1137,ANKRD55,-0.046150282424716714,ANKRD55
12951,IRX3,-0.04602672849249643,IRX3
456,ADCY1,-0.0457709133269767,ADCY1
33851,SLC12A7,-0.04529709523898444,SLC12A7
37613,TNFRSF4,-0.0449356117778741,TNFRSF4
12712,IL7R,-0.04491222758452068,IL7R
3194,CADM1,-0.04469005073615233,CADM1
6257,DDX3Y,-0.044376625914392766,DDX3Y
3842,CD300A,-0.04343128633416049,CD300A
23776,PALLD,-0.042631897581321444,PALLD
2096,AXIN2,-0.04256382871078201,AXIN2
23643,P2RX5,-0.042554521927752456,P2RX5
3756,CCR4,-0.04141928409600628,CCR4
26381,RAB11FIP5,-0.04129762860447267,RAB11FIP5
13563,KLF3,-0.04060377463574102,KLF3
