,ensembl,loading,symbol
3899,CD8A,0.12750208613274117,CD8A
3900,CD8B,0.12379972866971783,CD8B
16012,LINC02446,0.12076817156025649,LINC02446
24265,PECAM1,0.08026716753243192,PECAM1
38554,TTC24,0.07933566377320041,TTC24
3826,CD244,0.07364070851026637,CD244
13657,KLRD1,0.07344124188148213,KLRD1
13652,KLRC1,0.07178916211210071,KLRC1
6097,DBN1,0.07171460908870406,DBN1
21369,NCAM1,0.07166570795755771,NCAM1
40947,ZNF683,0.07148708643261395,ZNF683
36092,STYK1,0.07031762298777572,STYK1
21847,NKG7,0.06936165217900354,NKG7
10671,GZMK,0.06811780765448139,GZMK
5735,CTSW,0.06718157540122144,CTSW
13010,ITGAD,0.06624752861183622,ITGAD
13662,KLRK1,0.06589060981441847,KLRK1
14088,LAG3,0.06087700964174125,LAG3
26964,REG4,0.05771949598616857,REG4
33896,SLC17A9,0.05666043581529208,SLC17A9
24183,PDGFRB,0.05650567583362218,PDGFRB
24614,PIK3AP1,0.05189789735287258,PIK3AP1
13653,KLRC2,0.05090308171895122,KLRC2
5463,CRTAM,0.05056823818563024,CRTAM
3676,CCL4,0.0501857786413801,CCL4
13654,KLRC3,0.05004335513999516,KLRC3
3677,CCL4L2,0.050037575943596806,CCL4L2
20990,MVB12B,0.049739090218500766,MVB12B
19878,MLC1,0.04913323776702603,MLC1
8916,FGFBP2,0.04868388854724752,FGFBP2
