,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,quadrant_PC1_PC2
CART0077_RNAseq_NgsRun1_001,72.42960902184521,76.73757448502721,43.49897942462208,14.985082991259963,-33.21933697037964,19.542755033810174,-15.251811417745788,34.15551217628394,3.4816832152242885,11.151432192719307,0.6867098047331406,4.398683413753338,-2.4573850736936387,4.5734567906333305,-3.6215227910350754,10.76294730058871,-13.101609877087007,17.274694294885876,4.727372818767084,-0.1871120725330956,Q1
CART0077_RNAseq_NgsRun1_002,76.32220860735285,75.84425808481174,39.610893969616754,14.2633552691882,-33.95588812954224,15.561813746692478,-15.169397735968346,33.75066113672135,2.772214597572182,5.252877552606356,-3.2635079590797207,6.982782127428913,2.4844666197715912,3.403680293375469,-3.423854370352686,7.849474521805912,-9.213820329357848,6.952980407033144,-4.980371673257068,-4.626483380209684,Q1
CART0077_RNAseq_NgsRun1_003,52.664846501119776,76.45407037830779,58.039183872463234,9.61897377891313,-30.323302046754883,23.336795431327946,59.606695557317124,4.430392304126873,14.159606671373984,-8.262077927852392,5.895322140218651,-16.886061697945465,-19.360271103213385,1.9709602313833434,-5.078893104275587,28.26442894717789,3.8639376636231093,50.83903130858684,29.750526990488314,-81.44350221264511,Q1
CART0077_RNAseq_NgsRun1_004,78.34105114816477,77.3542885062128,42.034712600206475,14.894445834095292,-41.20012858047179,8.279318429048542,37.903243377114634,16.29347653315058,-6.249287812073401,6.833149221659333,-2.75425377120721,1.7317262940274156,7.556976691172896,-10.88150586061052,3.8472808970772165,-1.6704114030885038,-4.691953367062644,9.063741972117372,-5.568609523948146,-15.855952704133154,Q1
CART0077_RNAseq_NgsRun1_005,78.21840589772843,76.40459137724199,36.09207985367979,20.260917488614428,-71.75213286873264,-5.007544484988097,-9.992160579471323,-12.913505527267327,-17.02118314395208,13.284308547458178,-10.964040788290504,18.30881937727409,18.403493197633306,2.2146800342241146,-1.94246004406071,-12.771568421006688,-13.384996537499122,2.7315016734449125,-16.54374462955573,-1.1937133405043665,Q1
CART0077_RNAseq_NgsRun1_006,87.7678298617785,84.47337737682638,30.3896129427034,23.4878257279933,-97.29884706225522,-13.010480480109026,-7.3567068119011845,-16.853476991068398,-43.27969729528501,44.24309065203027,-22.72340847049295,71.26376198702239,33.918775324518606,-33.636675770641816,2.420078479536806,-45.17979024000341,-29.334191053564613,-16.54670631137401,-23.951322408984826,-13.215000008368404,Q1
CART0077_RNAseq_NgsRun1_007,47.533037467862286,74.99857212691475,86.69563526592638,14.186059529384359,26.746039764181337,-4.964362541194044,-20.972180861813747,24.239535915818344,2.205461954208924,-11.346185915366727,9.31161325436659,-19.656722638711383,-8.138930247016877,6.124045577645769,1.792936294313408,9.863255355921025,14.869796429848789,-7.493991271219455,0.8170994004913426,12.220248713727107,Q1
CART0077_RNAseq_NgsRun1_008,50.563213145869696,73.7107097644849,85.32961210342191,14.703276047011599,27.64001651253842,-9.002538845084517,-23.024627350244103,24.130826819845556,10.449987523575663,-10.780665625909386,3.8659057997114274,-10.773296513938812,-7.047493734599776,11.074191210513362,4.41522947671475,9.137193232197676,6.256448336800958,-8.197157822867068,-1.9378217478123207,23.359624415257258,Q1
CART0077_RNAseq_NgsRun1_009,38.91440440427795,70.54676837365037,93.20845071378838,10.903706324515372,33.24907298606058,-7.241598008656641,23.29790867370295,2.6437915343229275,10.645771919550606,-17.321295256809034,11.781814790793867,-22.61366408980569,-11.371767281764587,5.0899597156574625,1.7401166776640653,7.179280434198162,17.66053968614101,-11.95052054050711,3.763062243229635,9.673992663188885,Q1
CART0077_RNAseq_NgsRun1_010,50.37031643785812,72.10339266779002,89.75400387626827,15.003306263746417,22.314721065215192,-11.708634190382728,21.570291040725614,9.20698029782852,1.7148819048456772,-15.418485723271443,10.985037732576945,-17.99643584128955,-10.857808097755658,0.9113334187079151,2.3649909303093044,4.247909941140166,13.77990941442761,-6.202686978908805,-2.0518997348922285,15.897284617415364,Q1
CART0077_RNAseq_NgsRun1_011,58.34933598369734,79.92993103757966,80.54421438821194,21.09325339171944,-5.785104038780232,-33.43988122700893,-18.338381057191615,-16.78540380971528,4.681112475665509,-10.164401602287548,0.9263107105608822,-13.269645389530414,0.8669275071957031,8.278893705705507,7.328422297612901,-6.683048437346121,6.758478553102732,-11.272266041938797,6.84490475278439,25.682390140314435,Q1
CART0077_RNAseq_NgsRun1_012,57.88955734627781,77.6225319538096,79.94959190683157,19.409968081777844,-3.207371782984204,-31.583395318063364,-19.405010802482753,-13.334468404780187,9.857441815143714,-5.562944961730515,-1.2262993416890922,-10.581328945546833,5.843487871115432,4.121448795427272,3.068724445630766,-4.781890539871824,6.016156662425295,-9.246892974120275,0.31201499119554266,23.42240889498357,Q1
CART0077_RNAseq_NgsRun1_013,-130.67916313829815,42.79094183076136,-11.321982069149374,34.28027319462574,18.079819545117008,46.38153451176986,-21.61097612399173,-9.635737050954111,21.72155429377781,21.46203019178236,-2.063523870797424,11.875928309017016,-2.651410916015126,6.301203691513434,-13.1932000130683,11.235482904445732,16.16218271202436,-5.435798111146826,33.759203616438654,-4.466497705380158,Q2
CART0077_RNAseq_NgsRun1_014,-148.3024014746368,46.45640482329494,-30.579917436841612,39.161121873088824,6.529519188003702,28.171321438726057,-15.877282785916822,14.114312981651553,10.428667069032045,55.70049520038802,-42.85588510122576,29.530340325936486,-24.592502278401852,21.846970948279765,0.10918670573765901,99.56550981543458,26.2961560431328,-18.005062429522404,-49.05775758632748,-3.5373095214123738,Q2
CART0077_RNAseq_NgsRun1_015,-139.29838816442887,42.648995778870926,-18.132061490516282,29.102436574992193,5.337747135738464,21.39744807113423,30.54553709910186,-7.254659287621241,9.29998781216954,13.57308625072912,9.60205634288278,4.045601244284308,-15.065090184328865,-9.778251209252332,-22.889778549431092,-7.142411749537382,-24.691682801321708,-5.37002997311502,25.885380887917524,-27.99239052504861,Q2
CART0077_RNAseq_NgsRun1_016,-155.03749451061276,43.129207917162,-36.30819179369238,34.33813101284491,-7.139548589899597,4.918556225601971,32.633188609046556,5.848036499181739,-5.874849550841933,-12.89949486807266,-23.7731867645799,11.183257057945317,-27.945588217821243,-14.829515141798863,-21.167948256092128,-15.387078187710221,7.484142764675862,113.76919372213749,19.44182897406154,91.3077221751782,Q2
CART0077_RNAseq_NgsRun1_017,-150.29687355636065,45.43146912969998,-33.96155503458019,41.570076480959166,-11.76533559987192,0.15968547414514944,-9.448851443992844,-24.770435412555088,5.500327071736401,4.6311481575323326,-30.18107695390398,-4.7274903908919965,44.48588479521913,4.067828916221114,-40.623080988464814,9.370913022881025,-27.3594104536982,-36.65776739713349,100.61578969039022,6.212076057920073,Q2
CART0077_RNAseq_NgsRun1_018,-162.82294063488047,40.6027758563307,-41.267294328386896,41.15628250764204,-30.262479181346954,-6.951078505677358,0.3272714285503005,-17.90357536868194,-49.18792578161719,-96.44762402418854,-39.57829713180904,-0.6659306891825276,-34.53879169839133,104.27266831225553,-12.25701080693245,-8.346219998406342,-46.89962508451592,-20.41280073965802,-30.660493364259672,-8.36004654710675,Q2
CART0077_RNAseq_NgsRun1_019,-144.10352749250043,42.757483374137024,-20.036442211748593,36.366917777621296,30.961175939321684,19.455791296933885,-22.750996619728916,-4.391583321342889,17.046238974943254,31.398848682487976,16.323718870909477,9.632115080502897,-9.415073662761062,-27.68677583367087,-7.426878671809458,7.628904454831055,-21.635539118891593,-28.433215940570946,-17.661696313233115,-5.413560128845834,Q2
CART0077_RNAseq_NgsRun1_020,-142.8548546081429,44.169177519205356,-19.13065987222588,40.587611930995514,28.840859004576462,24.719143820715058,-26.83643445682613,7.464047061497457,2.8485936878409506,35.63511445292711,5.883776276360131,13.329660788889772,-8.4849870414138,-2.622585998506952,7.3380598022195525,-1.0803467459672391,5.442346452110842,21.190891440800876,-0.0007041711258598395,3.9583930041605244,Q2
CART0077_RNAseq_NgsRun1_021,-147.83610739250128,40.435100249626,-25.208480833439282,30.15169240984423,24.01281503196123,2.7394252352180697,20.76892261707682,-1.184137316501705,20.514518910501938,6.446274553493556,28.040362234588194,-0.9318478985086187,8.581871030413339,-14.76867440427671,6.304076169383987,-28.999170333740896,-1.9221030489456583,-15.382063897918563,4.441790406363452,-41.770802373662534,Q2
CART0077_RNAseq_NgsRun1_022,-151.17499348465995,41.38434053708862,-29.733208493272812,36.07754508860901,15.830518890915911,3.661218734428235,21.450519656121706,7.711305205214995,-7.888499578922606,23.99568792951681,8.341468926043673,-9.147196820334067,-80.10410514465266,-29.302158302478052,53.82028770451053,-92.23774714665704,8.404822851765259,-29.516666019937706,-19.970617215005245,14.209506449569057,Q2
CART0077_RNAseq_NgsRun1_023,-166.05338259612404,43.504219702422375,-46.61727768890483,40.720660717346675,-3.1941400194843212,-32.61162170280923,-5.819404066329131,-3.0053061379190784,-10.58024189179783,-53.625260536019105,36.431038007082584,-36.36083367191192,63.88256264979388,-54.632573192775396,105.60242703536211,54.51480613068557,-43.30470550518169,13.230040335030811,-11.578353312427048,1.7457120114661548,Q2
CART0077_RNAseq_NgsRun1_024,-162.49819690889277,43.297864799103706,-41.86911386791843,39.77349663511984,-3.580567601779323,-33.64451172998663,-6.908697028765361,2.1347219897213767,-4.099182302948647,-19.897979955145704,30.26570485200477,-27.364790794028703,82.33899731295622,12.9180290753438,-59.12216437408041,-40.01344307901096,102.2469656995143,5.7517177540652,-45.406855735714785,-25.075823869823438,Q2
CART0077_RNAseq_NgsRun1_025,-38.294347144168746,-54.47951136462747,46.28989869547607,-60.811043748383966,15.216014084257315,70.80311775576848,-31.028276605678645,-17.15319871196698,14.54459807747469,-5.432002627928927,-7.119809564628842,-1.5935822961472708,15.743188618977564,2.8120243373015135,-0.8661411585888016,-4.984601884969885,-9.493014684510552,7.433019599810363,-4.487534242121188,4.678696908725014,Q3
CART0077_RNAseq_NgsRun1_026,-48.90148795561819,-46.07597611240602,48.40559146917486,-58.24684215656279,17.41857848417094,67.53066127271926,-29.397908418096723,-16.442757529413154,15.453583489538984,-2.580499910541756,-3.6488975040814684,1.9098269295247061,15.156880338256133,4.790215745888743,-1.7415076640500107,-4.549917117414991,-9.840292070038645,-0.42399179158630695,-11.024847979217988,5.993032448822901,Q3
CART0077_RNAseq_NgsRun1_027,-49.853755472077076,-54.679166776373144,39.40555908879992,-67.43109676573181,0.8603892630236295,44.51384200333574,31.265302878670468,-21.5824669491531,1.5541700942491103,-1.43003595092553,7.352057859136241,0.6529516546260997,7.183309697764439,1.843339212064333,-0.3550453123758085,-4.2566561104353084,-3.5801097592793503,9.611451259736736,16.1819531344994,-2.3484908847768344,Q3
CART0077_RNAseq_NgsRun1_028,-73.6954837856892,-53.31858662373272,30.29873944638239,-69.29495517752459,-11.813989374008935,30.056568949478777,23.65852809939646,-12.789335888296444,-16.160540981460166,-20.12184214794457,-14.855163075030614,-0.011061656402537538,6.251388661956575,-18.63865192534044,4.1249897740661945,-18.020400517239175,11.450549058694097,16.212141607740666,-17.1848612425585,-10.103855217795891,Q3
