,UMAP1,UMAP2,hours,guide,donor
CART0077_RNAseq_NgsRun1_001,-6.985565,35.621605,0,SafeHarbor,CART0077_D1
CART0077_RNAseq_NgsRun1_002,-6.6838913,35.560734,0,RHOG,CART0077_D1
CART0077_RNAseq_NgsRun1_003,-6.8572497,36.04299,0,SafeHarbor,CART0077_D2
CART0077_RNAseq_NgsRun1_004,-7.1748867,35.303055,0,RHOG,CART0077_D2
CART0077_RNAseq_NgsRun1_005,-7.375573,35.82992,0,SafeHarbor,CART0077_D3
CART0077_RNAseq_NgsRun1_006,-7.627917,35.6648,0,RHOG,CART0077_D3
CART0077_RNAseq_NgsRun1_007,-6.3864713,35.15882,0,SafeHarbor,CART0077_D1
CART0077_RNAseq_NgsRun1_008,-7.520034,35.170055,0,RHOG,CART0077_D1
CART0077_RNAseq_NgsRun1_009,-6.805656,34.793045,0,SafeHarbor,CART0077_D2
CART0077_RNAseq_NgsRun1_010,-6.5051227,35.373466,0,RHOG,CART0077_D2
CART0077_RNAseq_NgsRun1_011,-7.1335254,36.067303,0,SafeHarbor,CART0077_D3
CART0077_RNAseq_NgsRun1_012,-6.9636335,35.007145,0,RHOG,CART0077_D3
CART0077_RNAseq_NgsRun1_013,-1.9082823,14.252626,24,SafeHarbor,CART0077_D1
CART0077_RNAseq_NgsRun1_014,-2.5992794,14.520371,24,RHOG,CART0077_D1
CART0077_RNAseq_NgsRun1_015,-1.6491642,14.602156,24,SafeHarbor,CART0077_D2
CART0077_RNAseq_NgsRun1_016,-2.2993934,14.190345,24,RHOG,CART0077_D2
CART0077_RNAseq_NgsRun1_017,-1.6902019,14.768923,24,SafeHarbor,CART0077_D3
CART0077_RNAseq_NgsRun1_018,-2.107207,14.525718,24,RHOG,CART0077_D3
CART0077_RNAseq_NgsRun1_019,-1.6837435,15.198454,24,SafeHarbor,CART0077_D1
CART0077_RNAseq_NgsRun1_020,-2.0077176,15.254604,24,RHOG,CART0077_D1
CART0077_RNAseq_NgsRun1_021,-2.4536817,15.481626,24,SafeHarbor,CART0077_D2
CART0077_RNAseq_NgsRun1_022,-2.3066423,14.862358,24,RHOG,CART0077_D2
CART0077_RNAseq_NgsRun1_023,-2.3811812,15.12432,24,SafeHarbor,CART0077_D3
CART0077_RNAseq_NgsRun1_024,-2.7971134,14.916251,24,RHOG,CART0077_D3
CART0077_RNAseq_NgsRun1_025,-4.892782,17.987314,72,SafeHarbor,CART0077_D1
CART0077_RNAseq_NgsRun1_026,-4.457863,18.090076,72,RHOG,CART0077_D1
CART0077_RNAseq_NgsRun1_027,-4.492468,18.756767,72,SafeHarbor,CART0077_D2
CART0077_RNAseq_NgsRun1_028,-5.0295506,18.60529,72,RHOG,CART0077_D2
CART0077_RNAseq_NgsRun1_029,-4.149027,18.82088,72,SafeHarbor,CART0077_D3
CART0077_RNAseq_NgsRun1_030,-4.8848934,18.85893,72,RHOG,CART0077_D3
CART0077_RNAseq_NgsRun1_031,-4.3159666,18.182457,72,SafeHarbor,CART0077_D1
CART0077_RNAseq_NgsRun1_032,-3.931831,18.372046,72,RHOG,CART0077_D1
CART0077_RNAseq_NgsRun1_033,-4.624126,18.407854,72,SafeHarbor,CART0077_D2
CART0077_RNAseq_NgsRun1_034,-4.8779106,19.166964,72,RHOG,CART0077_D2
CART0077_RNAseq_NgsRun1_035,-4.101872,19.065292,72,SafeHarbor,CART0077_D3
CART0077_RNAseq_NgsRun1_036,-4.54535,19.329067,72,RHOG,CART0077_D3
CART0077_RNAseq_NgsRun1_037,-3.9006076,25.632843,168,SafeHarbor,CART0077_D1
CART0077_RNAseq_NgsRun1_038,-3.4330723,26.246555,168,RHOG,CART0077_D1
CART0077_RNAseq_NgsRun1_039,-3.2245908,26.044365,168,SafeHarbor,CART0077_D2
CART0077_RNAseq_NgsRun1_040,-3.930211,25.99878,168,RHOG,CART0077_D2
CART0077_RNAseq_NgsRun1_041,-4.1331797,25.795727,168,SafeHarbor,CART0077_D3
CART0077_RNAseq_NgsRun1_042,-2.8685946,25.73724,168,RHOG,CART0077_D3
CART0077_RNAseq_NgsRun1_043,-3.5621223,25.892391,168,SafeHarbor,CART0077_D1
CART0077_RNAseq_NgsRun1_044,-3.3081422,25.562803,168,RHOG,CART0077_D1
CART0077_RNAseq_NgsRun1_045,-3.9731612,26.37122,168,SafeHarbor,CART0077_D2
CART0077_RNAseq_NgsRun1_046,-3.7097259,25.281672,168,RHOG,CART0077_D2
CART0077_RNAseq_NgsRun1_047,-3.5653217,26.585587,168,SafeHarbor,CART0077_D3
CART0077_RNAseq_NgsRun1_048,-3.1841102,25.34453,168,RHOG,CART0077_D3
CART0077_RNAseq_NgsRun1_049,7.952783,-0.5271861,240,SafeHarbor,CART0077_D1
CART0077_RNAseq_NgsRun1_050,8.065732,0.21871798,240,RHOG,CART0077_D1
CART0077_RNAseq_NgsRun1_051,7.477607,-0.24712813,240,SafeHarbor,CART0077_D2
CART0077_RNAseq_NgsRun1_052,8.02038,-0.19048369,240,RHOG,CART0077_D2
CART0077_RNAseq_NgsRun1_053,7.650849,0.10415559,240,SafeHarbor,CART0077_D3
CART0077_RNAseq_NgsRun1_054,7.787304,-0.5581876,240,RHOG,CART0077_D3
CART0077_RNAseq_NgsRun1_055,8.3863535,-0.22827992,240,SafeHarbor,CART0077_D1
CART0077_RNAseq_NgsRun1_056,7.146532,-0.5416947,240,RHOG,CART0077_D1
CART0077_RNAseq_NgsRun1_057,8.001638,-1.0266223,240,SafeHarbor,CART0077_D2
CART0077_RNAseq_NgsRun1_058,7.610622,-1.2016969,240,RHOG,CART0077_D2
CART0077_RNAseq_NgsRun1_059,8.321873,-0.42327225,240,SafeHarbor,CART0077_D3
CART0077_RNAseq_NgsRun1_060,7.258154,-0.71950066,240,RHOG,CART0077_D3
